ticket_id,customer_id,policy_id,ticket_open_date,ticket_close_date,issue_type,issue_severity,support_channel,resolution_status,resolution_time_hours,escalation_flag,repeat_ticket_flag,csat_score,refund_or_credit_given_flag,refund_or_credit_amount
TIC000072,CUST00665,POL00729,2025-03-08 00:00:00,,mileage_sync_issue,high,phone,escalated,50.82,1,1,1.0,0,0.0
TIC000073,CUST00619,POL00679,2025-07-28 00:00:00,2025-07-30 19:31:48.000000000,mileage_sync_issue,high,chat,resolved,67.53,0,0,5.0,0,0.0
TIC000074,CUST00890,POL00977,2025-10-28 00:00:00,2025-10-28 08:19:12.000000000,app_login_issue,low,self_service,resolved,8.32,0,0,3.0,0,0.0
TIC000075,CUST00867,POL00949,2025-02-10 00:00:00,,mileage_sync_issue,medium,chat,pending,15.72,0,1,,0,0.0
TIC000076,CUST00938,POL01028,2025-09-22 00:00:00,2025-09-22 03:50:24.000000000,claim_status_question,low,phone,resolved,3.84,0,0,2.0,1,34.43
TIC000077,CUST00837,POL00917,2025-03-09 00:00:00,2025-03-11 23:28:48.000000000,CLAIM_STATUS_QUESTION,critical,chat,resolved,71.48,0,0,2.0,0,0.0
TIC000078,CUST00447,POL00490,2025-04-17 00:00:00,2025-04-18 00:16:48.000000000,mileage_sync_issue,high,phone,resolved,24.28,0,0,3.0,0,0.0
TIC000079,CUST01066,POL01162,2025-11-18 00:00:00,2025-11-18 12:39:36.000000000,account_update_request,low,phone,resolved,12.66,0,0,5.0,0,
TIC000080,CUST00028,POL00031,2025-03-15 00:00:00,2025-03-15 05:44:24.000000000,policy_change_request,medium,phone,resolved,5.74,0,1,3.0,0,0.0
TIC000081,CUST00166,POL00179,2025-09-13 00:00:00,2025-09-15 00:10:48.000000000,mileage_sync_issue,high,phone,resolved,48.18,0,0,4.0,0,0.0
TIC000082,CUST00527,POL00574,2025-10-23 00:00:00,2025-10-23 06:18:00.000000000,claim_status_question,low,phone,resolved,6.3,0,0,3.0,0,0.0
TIC000083,CUST00170,POL00183,2025-02-06 00:00:00,2025-02-07 03:09:36.000000000,billing_issue,medium,phone,resolved,27.16,0,1,2.0,0,0.0
TIC000084,CUST00267,POL00288,2025-03-05 00:00:00,,account_update_request,medium,self_service,pending,24.14,0,0,,0,0.0
TIC000085,CUST00681,POL00745,2025-05-27 00:00:00,2025-05-27 00:30:00.000000000,payment_failure,low,phone,resolved,0.5,0,0,2.0,0,0.0
TIC000086,CUST00245,POL00265,2025-08-14 00:00:00,2025-08-14 01:45:36.000000000,claim_status_question,low,chat,resolved,1.76,0,0,3.0,1,23.35
TIC000087,CUST00775,POL00847,2025-09-17 00:00:00,2025-09-17 02:02:24.000000000,account_update_request,low,phone,closed_no_action,2.04,0,0,,0,0.0
TIC000088,CUST00495,POL00539,2025-12-16 00:00:00,,app_login_issue,critical,phone,pending,4.96,0,0,,0,0.0
TIC000089,CUST00460,POL00502,2025-12-25 00:00:00,2025-12-25 16:42:36.000000000,app_login_issue,medium,phone,resolved,16.71,0,0,5.0,0,0.0
TIC000090,CUST00199,POL00216,2025-05-29 00:00:00,,payment_failure,high,phone,escalated,82.1,1,0,2.0,0,0.0
TIC000091,CUST00299,POL00325,2025-10-19 00:00:00,2025-10-25 00:40:48.000000000,payment_failure,critical,chat,resolved,144.68,0,0,2.0,0,0.0
TIC000092,CUST00865,POL00947,2025-12-09 00:00:00,,mileage_sync_issue,low,chat,pending,3.62,0,0,,0,0.0
TIC000093,CUST00651,POL00715,2025-08-27 00:00:00,2025-08-29 09:28:48.000000000,account_update_request,high,chat,resolved,57.48,0,0,4.0,0,0.0
TIC000094,CUST00871,POL00953,2025-02-25 00:00:00,2025-02-25 19:51:00.000000000,mileage_sync_issue,medium,phone,resolved,19.85,0,1,4.0,0,0.0
TIC000095,CUST00338,POL00370,2025-02-25 00:00:00,2025-02-25 07:58:12.000000000,payment_failure,low,email,closed_no_action,7.97,0,0,,0,
TIC000096,CUST00812,POL00888,2025-04-13 00:00:00,2025-04-13 00:30:00.000000000,payment_failure,medium,phone,resolved,0.5,0,0,3.0,0,0.0
TIC000097,CUST00614,POL00674,2025-02-03 00:00:00,2025-02-05 23:12:00.000000000,claim_status_question,critical,email,closed_no_action,71.2,0,0,,0,0.0
TIC000098,CUST00347,POL01238,2025-09-06 00:00:00,2025-09-06 07:07:48.000000000,discount_dispute,low,chat,resolved,7.13,0,1,5.0,0,0.0
TIC000099,CUST00525,POL00571,2025-08-21 00:00:00,,app_login_issue,medium,chat,escalated,22.2,1,1,,0,0.0
TIC000100,CUST00292,POL00319,2025-08-29 00:00:00,,BILLING_ISSUE,medium,phone,escalated,5.54,1,1,2.0,0,0.0
TIC000101,CUST00397,POL00438,2025-06-13 00:00:00,,app_login_issue,medium,chat,escalated,10.08,1,0,2.0,0,0.0
TIC000102,CUST00075,POL01232,2025-07-14 00:00:00,,app_login_issue,medium,email,escalated,13.72,1,0,2.0,0,0.0
TIC000103,CUST00330,POL00361,2025-02-12 00:00:00,2025-02-14 09:39:00.000000000,billing_issue,high,phone,resolved,57.65,0,0,4.0,0,0.0
TIC000104,CUST00132,POL00142,2025-05-21 00:00:00,,payment_failure,high,email,escalated,47.27,1,0,1.0,0,0.0
TIC000105,CUST00155,POL00168,2025-06-02 00:00:00,2025-06-04 01:11:24.000000000,account_update_request,critical,chat,resolved,49.19,0,0,3.0,0,0.0
TIC000106,CUST00488,POL00532,2025-04-05 00:00:00,2025-04-09 18:21:00.000000000,app_login_issue,critical,email,resolved,114.35,0,0,5.0,0,0.0
TIC000107,CUST00177,POL00190,2025-08-08 00:00:00,2025-08-08 10:12:00.000000000,claim_status_question,low,chat,resolved,10.2,0,1,5.0,0,0.0
TIC000108,CUST00372,POL00407,2025-06-28 00:00:00,,payment_failure,medium,self_service,pending,24.61,0,1,,0,0.0
TIC000109,CUST00887,POL00974,2025-10-02 00:00:00,2025-10-02 19:42:00.000000000,billing_issue,medium,chat,resolved,19.7,0,0,5.0,0,0.0
TIC000110,CUST00818,POL00895,2025-07-01 00:00:00,2025-07-02 18:42:36.000000000,payment_failure,medium,chat,resolved,42.71,0,1,2.0,1,46.98
TIC000111,CUST00629,POL01223,2025-04-12 00:00:00,2025-04-13 07:04:12.000000000,mileage_sync_issue,medium,chat,closed_no_action,31.07,0,0,,0,0.0
TIC000112,CUST01087,POL01185,2025-11-12 00:00:00,,billing_issue,medium,phone,pending,12.16,0,1,,0,0.0
TIC000113,CUST00027,POL00030,2025-03-19 00:00:00,, account_update_request,high,chat,escalated,46.45,1,1,,0,0.0
TIC000114,CUST00214,POL00233,2025-12-12 00:00:00,2025-12-12 10:37:12.000000000,payment_failure,low,phone,resolved,10.62,0,0,4.0,0,0.0
TIC000115,CUST00495,POL00539,2025-09-24 00:00:00,,app_login_issue,medium,phone,pending,4.56,0,0,,1,60.23
TIC000116,CUST01087,POL01185,2025-02-19 00:00:00,2025-02-19 00:30:00.000000000,app_login_issue,medium,phone,resolved,0.5,0,1,2.0,0,0.0
TIC000117,CUST00789,POL00861,2025-12-23 00:00:00,2025-12-24 11:06:36.000000000,billing_issue,medium,self_service,resolved,35.11,0,0,3.0,1,25.32
TIC000118,CUST00649,POL00713,2025-04-18 00:00:00,2025-04-18 08:56:24.000000000,discount_dispute,low,phone,resolved,8.94,0,0,3.0,0,0.0
TIC000119,CUST01085,POL01182,2025-01-08 00:00:00,,claim_status_question,low,chat,escalated,6.07,1,0,2.0,0,0.0
TIC000120,CUST00939,POL01029,2025-03-05 00:00:00,2025-03-05 04:39:36.000000000,account_update_request,low,phone,resolved,4.66,0,0,3.0,0,0.0
TIC000121,CUST00852,POL00934,2025-07-31 00:00:00,2025-07-31 11:06:00.000000000,Payment_Failure,medium,phone,resolved,11.1,0,0,1.0,1,14.98
TIC000122,CUST01022,POL01111,2025-08-07 00:00:00,2025-08-08 13:59:24.000000000,claim_status_question,high,chat,resolved,37.99,0,0,4.0,1,4.15
TIC000123,CUST00330,POL00361,2025-08-23 00:00:00,,payment_failure,low,self_service,pending,7.12,0,1,,1,7.11
TIC000124,CUST00700,POL00765,2025-04-01 00:00:00,2025-04-01 04:06:36.000000000,billing_issue,medium,phone,resolved,4.11,0,0,4.0,0,0.0
TIC000125,CUST00816,POL00893,2025-07-15 00:00:00,2025-07-15 06:46:12.000000000,policy_change_request,low,self_service,resolved,6.77,0,1,5.0,1,18.84
TIC000126,CUST00819,POL00896,2025-11-21 00:00:00,,policy_change_request,low,phone,escalated,6.79,1,1,1.0,0,0.0
TIC000127,CUST00197,POL00213,2025-02-15 00:00:00,2025-02-16 15:39:00.000000000,app_login_issue,high,chat,resolved,39.65,0,0,5.0,1,0.0
TIC000128,CUST00772,POL00843,2025-02-23 00:00:00,2025-02-24 02:46:48.000000000,account_update_request,medium,phone,resolved,26.78,0,0,4.0,0,0.0
TIC000129,CUST01026,POL01116,2025-02-21 00:00:00,2025-02-21 13:39:36.000000000,account_update_request,medium,chat,resolved,13.66,0,0,5.0,1,68.87
TIC000130,CUST00543,POL00594,2025-08-04 00:00:00,2025-08-04 17:36:00.000000000,discount_dispute,medium,email,resolved,17.6,0,0,,0,0.0
TIC000131,CUST01039,POL01130,2025-07-15 00:00:00,2025-07-15 21:18:00.000000000,mileage_sync_issue,medium,email,resolved,21.3,0,0,4.0,0,0.0
TIC000132,CUST00869,POL00951,2025-07-31 00:00:00,,PAYMENT_FAILURE,low,chat,escalated,2.64,1,0,3.0,0,0.0
TIC000133,CUST00703,POL00768,2025-04-25 00:00:00,2025-04-25 11:09:36.000000000,policy_change_request,low,phone,resolved,11.16,0,0,1.0,0,0.0
TIC000134,CUST00504,POL00549,2025-12-04 00:00:00,2025-12-06 12:15:36.000000000,policy_change_request,high,self_service,resolved,60.26,0,0,3.0,0,0.0
TIC000135,CUST00778,POL00850,2025-12-11 00:00:00,,discount_dispute,high,phone,escalated,54.11,1,1,3.0,0,0.0
TIC000136,CUST00008,POL00009,2025-08-01 00:00:00,2025-08-01 14:01:12.000000000,app_login_issue,high,email,resolved,14.02,0,0,5.0,0,0.0
TIC000137,CUST00655,POL01229,2025-06-12 00:00:00,,claim_status_question,low,phone,escalated,8.92,1,0,1.0,0,0.0
TIC000138,CUST00321,POL00350,2025-10-20 00:00:00,,payment_failure,critical,email,pending,39.66,0,1,,0,0.0
TIC000139,CUST00453,POL00496,2025-10-12 00:00:00,2025-10-13 03:43:12.000000000,payment_failure,high,self_service,resolved,27.72,0,1,2.0,0,0.0
TIC000140,CUST00735,POL00806,2025-01-27 00:00:00,2025-01-27 16:07:12.000000000,payment_failure,medium,phone,resolved,16.12,0,0,5.0,0,
TIC000141,CUST00594,POL00652,2025-09-22 00:00:00,2025-09-22 06:03:36.000000000,billing_issue,low,email,resolved,6.06,0,1,1.0,0,0.0
TIC000142,CUST00819,POL00896,2025-04-29 00:00:00,,mileage_sync_issue,low,phone,escalated,10.5,1,0,2.0,0,0.0
TIC000143,CUST00943,POL01033,2025-03-02 00:00:00,,payment_failure,medium,phone,escalated,4.04,1,1,3.0,0,0.0
TIC000144,CUST00489,POL00533,2025-10-11 00:00:00,,billing_issue,low,chat,pending,3.97,0,0,,0,
TIC000145,CUST00381,POL00418,2025-02-17 00:00:00,2025-02-17 23:20:24.000000000,mileage_sync_issue,medium,phone,resolved,23.34,0,0,5.0,0,0.0
TIC000146,CUST00023,POL00024,2025-11-18 00:00:00,,billing_issue,low,self_service,escalated,3.56,1,1,2.0,0,
TIC000147,CUST00050,POL00057,2025-11-13 00:00:00,2025-11-13 18:18:36.000000000,mileage_sync_issue,medium,self_service,resolved,18.31,0,0,1.0,0,0.0
TIC000148,CUST01076,POL01172,2025-07-15 00:00:00,,app_login_issue,low,phone,pending,2.86,0,0,,0,0.0
TIC000149,CUST00248,POL00268,2025-08-21 00:00:00,,CLAIM_STATUS_QUESTION,low,phone,escalated,9.51,1,0,2.0,0,0.0
TIC000150,CUST00351,POL00383,2025-05-03 00:00:00,2025-05-03 11:16:48.000000000,discount_dispute,low,email,resolved,11.28,0,1,1.0,1,28.2
TIC000151,CUST00364,POL00397,2025-10-02 00:00:00,,discount_dispute,medium,phone,pending,24.45,0,0,,1,0.0
TIC000152,CUST00710,POL00775,2025-05-14 00:00:00,2025-05-14 04:01:48.000000000, app_login_issue,low,phone,resolved,4.03,0,0,3.0,0,0.0
TIC000153,CUST00273,POL00295,2025-11-18 00:00:00,,app_login_issue,critical,self_service,pending,69.21,0,0,,0,0.0
TIC000154,CUST00196,POL00212,2025-02-26 00:00:00,2025-02-28 22:24:00.000000000,account_update_request,high,chat,resolved,70.4,0,0,4.0,1,34.83
TIC000155,CUST00233,POL00252,2025-02-24 00:00:00,2025-02-24 14:09:00.000000000,billing_issue,medium,phone,resolved,14.15,0,1,4.0,0,0.0
TIC000156,CUST00531,POL00579,2025-05-15 00:00:00,2025-05-15 13:10:12.000000000,billing_issue,low,self_service,resolved,13.17,0,0,4.0,0,0.0
TIC000157,CUST00139,POL00151,2025-09-07 00:00:00,2025-09-07 07:26:24.000000000,mileage_sync_issue,low,chat,resolved,7.44,0,0,5.0,0,0.0
TIC000158,CUST00391,POL00431,2025-12-18 00:00:00,2025-12-18 09:12:36.000000000,payment_failure,medium,self_service,resolved,9.21,0,0,5.0,0,0.0
TIC000159,CUST00704,POL00769,2025-06-10 00:00:00,,account_update_request,high,chat,escalated,52.99,1,0,1.0,0,0.0
TIC000160,CUST00247,POL01243,2025-01-17 00:00:00,,mileage_sync_issue,low,email,escalated,7.75,1,1,2.0,0,0.0
TIC000161,CUST00082,POL01258,2025-11-04 00:00:00,2025-11-04 04:42:36.000000000,app_login_issue,low,chat,resolved,4.71,0,0,5.0,0,0.0
TIC000162,CUST00299,POL00325,2025-09-25 00:00:00,2025-09-25 04:12:36.000000000,policy_change_request,low,phone,closed_no_action,4.21,0,0,,1,5.49
TIC000163,CUST00362,POL00395,2025-11-07 00:00:00,2025-11-07 23:48:00.000000000, app_login_issue,medium,phone,resolved,23.8,0,0,4.0,0,0.0
TIC000164,CUST01006,POL01098,2025-01-12 00:00:00,,billing_issue,medium,phone,pending,30.92,0,1,,1,0.0
TIC000165,CUST00683,POL00748,2025-02-28 00:00:00,,discount_dispute,medium,email,pending,21.94,0,0,,0,0.0
TIC000166,CUST00504,POL00549,2025-05-21 00:00:00,2025-05-21 12:21:36.000000000,Account_Update_Request,medium,phone,resolved,12.36,0,1,5.0,0,0.0
TIC000167,CUST00374,POL00409,2025-02-17 00:00:00,,claim_status_question,low,phone,pending,1.26,0,1,,0,0.0
TIC000168,CUST00747,POL00820,2025-04-09 00:00:00,,policy_change_request,medium,phone,escalated,28.56,1,0,3.0,0,0.0
TIC000169,CUST00528,POL00576,2025-07-21 00:00:00,,mileage_sync_issue,low,phone,escalated,10.48,1,1,1.0,0,
TIC000170,CUST01097,POL01196,2025-10-28 00:00:00,,policy_change_request,critical,phone,pending,118.29,0,1,,0,0.0
TIC000171,CUST00434,POL01222,2025-05-20 00:00:00,2025-05-20 03:03:00.000000000,claim_status_question,medium,chat,resolved,3.05,0,0,4.0,0,0.0
TIC000172,CUST00204,POL00221,2025-11-07 00:00:00,,payment failure,medium,chat,pending,5.12,0,1,,0,
TIC000173,CUST00805,POL00880,2025-04-13 00:00:00,2025-04-13 10:37:48.000000000,claim_status_question,low,chat,resolved,10.63,0,0,4.0,0,0.0
TIC000174,CUST00701,POL00766,2025-11-20 00:00:00,2025-11-20 00:30:00.000000000,mileage_sync_issue,high,phone,resolved,0.5,0,0,3.0,0,
TIC000175,CUST00841,POL00921,2025-03-27 00:00:00,2025-03-27 05:48:00.000000000,app_login_issue,low,email,resolved,5.8,0,0,5.0,1,3.48
TIC000176,CUST00157,POL01202,2025-07-29 00:00:00,2025-07-30 19:50:24.000000000,policy_change_request,medium,phone,resolved,43.84,0,0,5.0,0,0.0
TIC000177,CUST00995,POL01087,2025-06-30 00:00:00,2025-06-30 08:18:36.000000000,payment failure,low,self_service,resolved,8.31,0,1,4.0,0,0.0
TIC000178,CUST00337,POL00369,2025-06-15 00:00:00,2025-06-15 04:17:24.000000000,payment_failure,low,email,resolved,4.29,0,0,4.0,0,
TIC000179,CUST00669,POL00733,2025-05-06 00:00:00,2025-05-06 08:16:12.000000000,mileage_sync_issue,low,email,resolved,8.27,0,1,5.0,0,0.0
TIC000180,CUST00697,POL00762,2025-03-16 00:00:00,2025-03-18 22:45:00.000000000,claim_status_question,high,email,resolved,70.75,0,0,3.0,0,0.0
TIC000181,CUST00232,POL00251,2025-01-05 00:00:00,2025-01-06 01:53:24.000000000,claim_status_question,medium,chat,resolved,25.89,0,1,4.0,0,0.0
TIC000182,CUST00871,POL00954,2025-10-18 00:00:00,2025-10-19 06:57:36.000000000,Claim_Status_Question,medium,chat,resolved,30.96,0,0,3.0,0,0.0
TIC000183,CUST01056,POL01151,2025-02-03 00:00:00,2025-02-03 06:10:12.000000000,payment_failure,low,chat,resolved,6.17,0,0,2.0,0,
