policy_id,customer_id,vehicle_id,policy_start_date,policy_end_date,policy_type,coverage_level,deductible,risk_score,base_premium,telematics_discount_pct,loyalty_discount_pct,bundled_discount_pct,final_monthly_premium,payment_frequency,autopay_flag,policy_status,renewal_flag,churn_flag,cancellation_reason,payment_timeliness_score
POL00070,CUST00061,VEH00071,2024-12-02,2025-12-01,standard,enhanced,250,0.609,46.48,3.82,3,0.0,43.31,monthly,1,renewed,1,0,,75.2
POL00071,CUST00062,VEH00072,2025-08-06,2026-08-05,liability_only,basic,500,0.736,48.53,3.82,5,8.0,40.37,monthly,0,cancelled,0,1,price_increase,59.9
POL00072,CUST00063,VEH00073,2025-04-07,2026-04-06,liability_only,enhanced,500,0.804,139.46,4.71,0,6.0,124.52,monthly,0,renewed,1,0,,67.8
POL00073,CUST00064,VEH00074,2024-11-07,2025-11-06,premium,comprehensive,1000,0.54,64.76,8.24,5,4.0,53.6,semiannual,0,renewed,1,0,,82.8
POL00074,CUST00065,VEH00075,2024-04-05,2025-04-04,standard,comprehensive,1000,0.611,58.29,8.24,5,4.0,48.24,monthly,1,cancelled,0,1,price_increase,82.2
POL00075,CUST00066,VEH00076,2024-06-24,2025-06-23,premium,comprehensive,1500,0.691,70.76,,0,6.0,61.1,monthly,1,active,0,0,,61.1
POL00076,CUST00067,VEH00077,2024-04-16,2025-04-15,liability_only,basic,500,0.612,40.0,11.18,0,0.0,35.53,quarterly,1,renewed,1,0,,66.7
POL00077,CUST00068,VEH00078,2025-07-20,2026-07-19,standard,comprehensive,1000,0.617,89.76,6.47,0,0.0,83.95,monthly,1,renewed,1,0,,81.9
POL00078,CUST00069,VEH00079,2024-06-30,2025-06-29,full_coverage,enhanced,500,0.813,152.98,,0,6.0,128.95,monthly,1,active,0,0,,93.9
POL00079,CUST00070,VEH00080,2024-02-02,2025-01-31,standard,enhanced,1000,0.655,52.49,6.18,0,0.0,49.25,monthly,1,active,0,0,,53.0
POL00080,CUST00071,VEH00081,2025-09-09,2026-09-08,full_coverage,comprehensive,1500,0.587,114.85,9.71,0,8.0,94.51,annual,1,active,0,0,,75.3
POL00081,CUST00072,VEH00082,2025-05-15,2026-05-14,full_coverage,enhanced,1000,0.601,127.03,12.35,5,6.0,97.37,monthly,0,active,0,0,,100.0
POL00082,CUST00073,VEH00083,2024-01-28,2025-01-26,standard,basic,250,0.726,58.03,3.53,0,,52.5,monthly,1,active,0,0,,70.7
POL00083,CUST00074,VEH00084,2024-07-10,2025-07-09,liability_only,basic,250,0.606,42.98,13.53,5,6.0,32.44,monthly,1,active,0,0,,84.6
POL00084,CUST00075,VEH00085,2024-07-22,2025-07-21,liability_only,comprehensive,500,0.583,47.57,7.65,0,0.0,43.93,monthly,1,renewed,1,0,,92.8
POL00085,CUST00076,VEH00086,2024-03-12,2025-03-11,standard,comprehensive,250,0.801,77.76,7.06,5,0.0,68.38,monthly,1,lapsed,0,1,moved_to_competitor,86.0
POL00086,CUST00077,VEH00087,2025-01-30,2026-01-29,standard,enhanced,1000,0.652,40.0,2.94,5,6.0,34.42,annual,1,lapsed,0,1,price_increase,67.8
POL00087,CUST00079,VEH00089,2024-10-17,2025-10-16,liability_only,enhanced,500,0.624,42.94,10.59,0,0.0,38.39,semiannual,1,active,0,0,,67.7
POL00088,CUST00080,VEH00090,2024-07-29,2025-07-28,full_coverage,enhanced,1000,0.667,83.4,7.06,0,0.0,77.51,monthly,0,renewed,1,0,,82.1
POL00089,CUST00081,VEH00091,2024-08-26,2025-08-25,premium,enhanced,500,0.835,80.52,12.65,7,0.0,64.7,monthly,0,active,0,0,,87.1
POL00090,CUST00082,VEH00092,2024-10-25,2025-10-24,standard,enhanced,1500,0.702,61.26,1.18,0,0.0,60.54,monthly,0,active,0,0,,93.6
POL00091,CUST00083,VEH00093,2025-06-20,2026-06-19,standard,enhanced,500,0.626,64.77,14.41,0,8.0,120.624,monthly,0,active,0,0,,74.3
POL00092,CUST00084,VEH00094,2024-03-12,2025-03-11,standard,comprehensive,1000,0.599,42.34,8.24,0,6.0,36.31,monthly,1,renewed,1,0,,54.0
POL00093,CUST00085,VEH00095,2025-04-10,2026-04-09,full_coverage,comprehensive,1000,0.809,76.77,13.24,0,0.0,66.61,quarterly,1,renewed,1,0,,69.2
POL00094,CUST00086,VEH00096,2024-02-28,2025-02-26,standard,comprehensive,1000,0.673,64.14,0.88,0,8.0,58.44,monthly,0,active,0,0,,75.3
POL00095,CUST00087,VEH00097,2025-01-12,2026-01-11,liability_only,comprehensive,500,0.639,45.83,9.12,5,0.0,39.36,monthly,1,active,0,0,,100.0
POL00096,CUST00088,VEH00098,2025-06-14,2026-06-13,liability_only,enhanced,500,0.613,75.55,7.65,3,0.0,67.5,monthly,0,active,0,0,,64.5
POL00097,CUST00089,VEH00099,2024-01-12,2025-01-10,liability_only,comprehensive,500,0.673,66.36,2.94,0,0.0,64.41,monthly,1,active,0,0,,100.0
POL00098,CUST00090,VEH00100,2024-06-24,2025-06-23,full_coverage,basic,1000,0.662,84.32,3.82,0,0.0,81.1,monthly,1,active,0,0,,74.0
POL00099,CUST00091,VEH00101,2024-11-30,2025-11-29,standard,comprehensive,1000,0.66,99.42,0.88,7,0.0,91.59,monthly,1,lapsed,0,1,price_increase,79.5
POL00100,CUST00092,VEH00102,2025-02-24,2026-02-23,liability_only,basic,250,0.656,72.58,8.24,0,0.0,66.6,quarterly,1,renewed,1,0,,73.2
POL00101,CUST00093,VEH00103,2025-02-04,2026-02-03,standard,basic,250,0.714,51.14,9.71,0,6.0,43.11,quarterly,1,renewed,1,0,,100.0
POL00102,CUST00094,VEH00104,2024-06-09,2025-06-08,full_coverage,basic,1000,0.667,76.09,12.06,3,0.0,64.63,monthly,0,active,0,0,,57.8
POL00103,CUST00095,VEH00105,2024-04-23,2025-04-22,liability_only,comprehensive,1000,0.578,40.0,11.47,3,0.0,34.21,semiannual,1,cancelled,0,1,service_issues,95.0
POL00104,CUST00096,VEH00106,2024-05-12,2025-05-11,full_coverage,comprehensive,1000,0.634,105.87,7.94,5,8.0,83.7,monthly,0,active,0,0,,66.8
POL00105,CUST00097,VEH00107,2025-07-03,2026-07-02,standard,basic,500,0.624,51.76,14.71,5,4.0,39.49,semiannual,0,cancelled,0,1,price_increase,100.0
POL00106,CUST00098,VEH00108,2025-03-04,2026-03-03,standard,basic,500,0.68,52.08,7.06,7,0.0,44.76,monthly,0,active,0,0,,83.2
POL00107,CUST00099,VEH00109,2025-05-04,2026-05-03,full_coverage,comprehensive,500,0.681,96.67,4.71,5,4.0,83.42,monthly,0,active,0,0,,76.4
POL00108,CUST00100,VEH00110,2024-03-11,2025-03-10,premium,basic,1000,0.776,50.46,5.29,0,0.0,47.79,monthly,0,renewed,1,0,,96.7
POL00109,CUST00101,VEH00111,2025-02-02,2026-02-01,premium,enhanced,500,0.791,147.11,6.18,0,0.0,138.02,quarterly,0,active,0,0,,85.0
POL00110,CUST00102,VEH00112,2024-07-30,2025-07-29,premium,enhanced,500,0.645,53.16,7.35,3,0.0,47.66,quarterly,1,lapsed,0,1,,79.5
POL00111,CUST00103,VEH00113,2024-05-13,2025-05-12,liability_only,basic,500,0.638,57.97,6.76,0,,49.41,monthly,1,active,0,0,,81.4
POL00112,CUST00104,VEH00114,2024-07-29,2025-07-28,full_coverage,enhanced,250,0.839,130.05,3.82,3,0.0,121.18,monthly,0,renewed,1,0,,59.9
POL00113,CUST00105,VEH00115,2024-11-13,2025-11-12,standard,enhanced,1000,0.61,64.71,11.18,0,0.0,57.48,quarterly,1,active,0,0,,95.8
POL00114,CUST00106,VEH00116,2025-03-18,2026-03-17,standard,enhanced,1000,0.799,69.06,8.82,0,0.0,62.97,monthly,1,active,0,0,,100.0
POL00115,CUST00106,VEH00117,2025-05-01,2026-04-30,standard,comprehensive,500,0.62,47.51,3.82,0,0.0,45.7,monthly,0,renewed,1,0,,93.3
POL00116,CUST00107,VEH00118,2024-06-11,2025-06-10,standard,comprehensive,500,0.664,60.37,3.53,3,0.0,56.43,annual,1,active,0,0,,85.2
POL00117,CUST00108,VEH00119,2025-09-10,2026-09-09,full_coverage,comprehensive,1000,0.721,131.13,11.18,7,0.0,107.29,semiannual,0,active,0,0,,72.3
POL00118,CUST00108,VEH00120,2025-08-11,2026-08-10,standard,enhanced,1000,0.68,108.52,0.0,0,0.0,108.52,quarterly,0,renewed,1,0,,100.0
POL00119,CUST00109,VEH00121,2024-11-13,2025-11-12,standard,comprehensive,250,0.59,56.45,,0,,51.97,semiannual,0,active,0,0,,83.1
POL00120,CUST00111,VEH00123,2025-08-24,2026-08-23,premium,basic,500,0.725,91.45,,3,0.0,79.83,quarterly,0,active,0,0,,61.7
POL00121,CUST00112,VEH00124,2024-07-26,2025-07-25,premium,enhanced,1000,0.633,106.64,11.18,0,0.0,94.72,monthly,1,lapsed,0,1,service_issues,87.1
POL00122,CUST00113,VEH00125,2025-05-29,2026-05-28,full_coverage,enhanced,1000,0.633,91.1,11.76,0,8.0,73.1,annual,1,cancelled,0,1,service_issues,93.7
POL00123,CUST00114,VEH00126,2025-04-14,2026-04-13,full_coverage,enhanced,1000,0.831,100.14,0.29,0,0.0,99.85,monthly,1,renewed,1,0,,88.4
POL00124,CUST00115,VEH00127,2024-10-09,2025-10-08,standard,enhanced,250,0.687,76.37,6.76,3,6.0,64.33,monthly,0,cancelled,0,1,moved_to_competitor,98.7
POL00125,CUST00116,VEH00128,2024-07-25,2025-07-24,liability_only,comprehensive,500,0.937,92.45,8.24,3,0.0,82.06,monthly,0,active,0,0,,80.7
POL00126,CUST00117,VEH00129,2024-01-08,2025-01-06,standard,basic,1500,0.658,44.96,2.94,0,0.0,43.64,monthly,1,active,0,0,,54.5
POL00127,CUST00118,VEH00130,2024-05-26,2025-05-25,full_coverage,enhanced,250,0.701,96.91,5.59,0,0.0,91.49,quarterly,1,lapsed,0,1,moved_to_competitor,93.2
POL00128,CUST00120,VEH00132,2025-04-01,2026-03-31,standard,enhanced,1500,0.649,108.88,10.59,0,0.0,97.35,quarterly,0,cancelled,0,1,price_increase,100.0
POL00129,CUST00121,VEH00133,2024-03-06,2025-03-05,premium,basic,1500,0.582,40.0,4.71,3,6.0,34.52,monthly,1,active,0,0,,85.6
POL00130,CUST00122,VEH00134,2025-02-12,2026-02-11,full_coverage,enhanced,500,0.773,108.35,14.12,0,0.0,93.05,quarterly,1,active,0,0,,73.4
POL00131,CUST00122,VEH00135,2025-09-11,2026-09-10,standard,basic,500,0.69,61.0,9.41,0,4.0,52.82,quarterly,1,cancelled,0,1,billing_problems,73.1
POL00132,CUST00123,VEH00136,2024-09-09,2025-09-08,premium,comprehensive,500,0.596,63.86,7.35,3,6.0,53.42,semiannual,0,active,0,0,,96.9
POL00133,CUST00124,VEH00137,2025-06-22,2026-06-21,full_coverage,basic,1000,0.616,40.93,10.59,0,0.0,36.6,quarterly,0,active,0,0,,54.8
POL00134,CUST00125,VEH00138,2024-12-02,2025-12-01,full_coverage,basic,1000,0.621,74.9,,3,,66.13,monthly,1,cancelled,0,1,price_increase,84.3
POL00135,CUST00126,VEH00139,2025-08-05,2026-08-04,full_coverage,basic,500,0.612,73.42,6.18,3,,66.68,annual,1,lapsed ,0,1,claim_dispute,64.7
POL00136,CUST00127,VEH00140,2025-05-17,2026-05-16,liability_only,basic,500,0.916,63.83,,3,4.0,53.16,semiannual,0,lapsed,0,1,claim_dispute,88.0
POL00137,CUST00128,VEH00141,2025-04-16,2026-04-15,full_coverage,basic,500,0.739,101.64,6.76,0,0.0,94.77,monthly,0,lapsed,0,1,service_issues,72.8
POL00138,CUST00129,VEH00142,2025-04-18,2026-04-17,standard,comprehensive,1000,0.657,52.53,3.82,3,0.0,48.95,monthly,0,active,0,0,,43.4
POL00139,CUST00130,VEH00143,2025-08-12,2026-08-11,standard,enhanced,500,0.602,62.96,8.53,3,0.0,55.7,monthly,1,active,0,0,,100.0
POL00140,CUST00131,VEH00144,2024-02-10,2025-02-08,standard,basic,250,0.72,78.14,11.76,3,0.0,66.61,monthly,0,active,0,0,,100.0
POL00141,CUST00131,VEH00145,2024-04-03,2025-04-02,standard,comprehensive,500,0.618,62.66,7.65,3,6.0,52.23,monthly,1,active ,0,0,,55.0
POL00142,CUST00132,VEH00146,2024-10-21,2025-10-20,standard,comprehensive,250,0.847,121.75,0.0,5,0.0,115.66,monthly,1,renewed,1,0,,75.6
POL00143,CUST00133,VEH00147,2025-04-12,2026-04-11,liability_only,comprehensive,1000,0.653,56.14,6.18,7,0.0,48.74,semiannual,0,renewed,1,0,,98.8
POL00144,CUST00134,VEH00148,2024-12-21,2025-12-20,full_coverage,enhanced,1000,0.625,83.23,7.35,0,6.0,72.12,semiannual,1,cancelled,0,1,claim_dispute,69.0
POL00145,CUST00135,VEH00149,2024-10-31,2025-10-30,liability_only,basic,1000,0.674,40.0,14.71,3,0.0,32.92,monthly,0,active,0,0,,87.4
POL00146,CUST00136,VEH00150,2025-02-04,2026-02-03,standard,comprehensive,500,0.606,88.31,7.94,3,0.0,78.65,monthly,0,active,0,0,,96.3
POL00147,CUST00136,VEH00151,2025-09-19,2026-09-18,liability_only,enhanced,500,0.604,48.89,4.12,0,0.0,46.88,quarterly,0,cancelled,0,1,price_increase,89.9
POL00148,CUST00137,VEH00152,2024-06-28,2025-06-27,standard,enhanced,500,0.692,40.0,14.71,0,0.0,34.12,monthly,1,active,0,0,,82.1
POL00149,CUST00138,VEH00153,2025-03-01,2026-02-28,full_coverage,basic,1000,0.778,140.98,3.53,0,0.0,136.0,quarterly,1,active,0,0,,96.1
POL00150,CUST00138,VEH00154,2024-09-12,2025-09-11,full_coverage,basic,1000,0.769,87.31,3.53,0,4.0,80.74,annual,0,cancelled,0,1,service_issues,100.0
POL00151,CUST00139,VEH00155,2024-07-02,2025-07-01,liability_only,comprehensive,500,0.693,40.0,9.12,7,0.0,33.55,monthly,1,cancelled,0,1,moved_to_competitor,58.3
POL00152,CUST00140,VEH00156,2025-09-24,2026-09-23,standard,basic,500,0.613,59.76,5.88,0,0.0,56.25,monthly,0,cancelled,0,1,,82.7
POL00153,CUST00141,VEH00157,2025-03-18,2026-03-17,liability_only,comprehensive,1000,0.721,130.75,4.12,0,6.0,117.52,semiannual,1,active,0,0,,86.9
POL00154,CUST00142,VEH00158,2025-04-13,2026-04-12,full_coverage,basic,500,0.578,65.25,9.12,5,6.0,52.12,annual,1,active,0,0,,80.0
POL00155,CUST00143,VEH00159,2025-01-28,2026-01-27,standard,enhanced,250,0.661,56.96,10.0,0,0.0,51.26,monthly,1,lapsed,0,1,moved_to_competitor,99.5
POL00156,CUST00144,VEH00160,2024-07-06,2025-07-05,premium,enhanced,1000,0.701,91.37,,0,0.0,88.41,monthly,1,renewed,1,0,,69.3
POL00157,CUST00145,VEH00161,2025-08-05,2026-08-04,liability_only,enhanced,1000,0.633,69.38,14.41,7,0.0,54.53,monthly,1,renewed,1,0,,74.8
POL00158,CUST00146,VEH00162,2024-04-07,2025-04-06,standard,enhanced,1000,0.582,59.06,4.12,3,4.0,52.49,monthly,1,active,0,0,,83.4
POL00159,CUST00147,VEH00163,2025-02-06,2026-02-05,standard,comprehensive,250,0.85,83.43,9.12,7,,63.31,monthly,0,cancelled,0,1,service_issues,86.0
POL00160,CUST00147,VEH00164,2024-02-14,2025-02-12,premium,comprehensive,500,0.751,103.01,12.35,0,6.0,84.11,semiannual,0,lapsed,0,1,moved_to_competitor,72.7
POL00161,CUST00148,VEH00165,2024-09-02,2025-09-01,liability_only,basic,1500,0.61,43.24,3.82,3,0.0,40.29,monthly,0,active,0,0,,97.3
POL00162,CUST00149,VEH00166,2024-06-10,2025-06-09,standard,basic,1000,0.714,42.3,13.82,3,0.0,35.19,monthly,1,active,0,0,,74.8
POL00163,CUST00150,VEH00167,2024-10-07,2025-10-06,liability_only,enhanced,1000,0.666,83.29,7.06,0,6.0,72.41,annual,0,renewed,1,0,,63.9
