policy_id,customer_id,vehicle_id,policy_start_date,policy_end_date,policy_type,coverage_level,deductible,risk_score,base_premium,telematics_discount_pct,loyalty_discount_pct,bundled_discount_pct,final_monthly_premium,payment_frequency,autopay_flag,policy_status,renewal_flag,churn_flag,cancellation_reason,payment_timeliness_score,premium_band,total_discount_pct,discount_band,risk_band,age,state,city,income_band,credit_tier,customer_segment,tenure_months,vehicle_make,vehicle_model,vehicle_year,vehicle_type,vehicle_value_estimate,annual_mileage,primary_use,total_premium_paid,total_discount_amount,total_support_cost,total_claim_cost,estimated_customer_ltv,estimated_net_value,profitability_segment,ticket_count,avg_resolution_time_hours,avg_csat,escalation_rate,refund_rate,total_refund_amount,support_burden_band,claim_count,total_estimated_claim_cost,total_approved_claim_amount
POL00011,CUST00010,VEH00011,2025-02-11,2026-02-10,standard,comprehensive,250,0.564,40.0,10.0,5,0.0,34.0,quarterly,1,renewed,1,0,,68.3,low,15.0,high,low_risk,63.0,Georgia,Augusta,middle,good,standard,7.0,Kia,Sportage,2011,suv,3500.0,11998,commercial_light,374.0,66.0,54.09,0.0,579.7,319.91,low,2.0,8.805,2.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00012,CUST00011,VEH00012,2024-08-21,2025-08-20,full_coverage,basic,500,0.614,79.53,4.41,0,0.0,76.02,quarterly,1,active,0,0,,48.1,low,4.41,low,moderate_risk,46.0,California,San Jose,,very_good,premium,11.0,Ford,Mustang,2024,coupe,25732.27,8817,commuting,608.16,28.08000000000004,0.0,0.0,608.16,608.16,medium,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0
POL00013,CUST00012,VEH00013,2024-08-20,2025-08-19,standard,enhanced,500,0.739,83.78,10.59,0,6.0,69.88,annual,0,cancelled,0,1,moved_to_competitor,97.6,low,16.59,high,moderate_risk,73.0,Arizona,Phoenix,high,poor,budget,10.0,Toyota,Camry,2019,sedan,14274.02,17692,commuting,559.04,111.20000000000005,28.95,0.0,559.04,530.0899999999999,medium,1.0,6.19,3.0,0.0,0.0,0.0,low,1.0,1154.9,0.0
POL00014,CUST00013,VEH00014,2024-08-02,2025-08-01,premium,enhanced,500,0.555,71.99,13.53,5,0.0,58.65,monthly,0,renewed,1,0,,75.8,low,18.53,high,low_risk,52.0,Pennsylvania,Allentown,middle,fair,standard,9.0,Chevrolet,Malibu,2017,sedan,15051.43,9012,family,469.2,106.71999999999996,157.59,0.0,727.26,311.61,low,3.0,24.833333333333332,3.5,0.0,0.3333333333333333,10.92,moderate,0.0,0.0,0.0
POL00015,CUST00014,VEH00015,2025-04-30,2026-04-29,standard,basic,250,0.649,63.05,4.41,0,8.0,55.23,monthly,0,lapsed,0,1,moved_to_competitor,80.9,low,12.41,high,moderate_risk,42.0,Texas,Houston,middle,fair,budget,3.0,Subaru,Impreza,2011,hatchback,11223.47,15853,commercial_light,497.07,70.38,27.520000000000003,0.0,497.07,469.55,low,2.0,2.1999999999999997,4.0,0.0,0.5,0.0,low,0.0,0.0,0.0
POL00016,CUST00015,VEH00016,2024-08-27,2025-08-26,standard,basic,250,0.563,40.0,7.35,0,0.0,37.06,monthly,1,active,0,0,,90.3,low,7.35,moderate,low_risk,57.0,Illinois,Chicago,upper_middle,fair,premium,32.0,Hyundai,Sonata,2010,sedan,3500.0,8257,commuting,296.48,23.519999999999985,37.23,0.0,296.48,259.25,low,1.0,16.54,5.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00017,CUST00016,VEH00017,2025-06-12,2026-06-11,standard,enhanced,250,0.804,68.29,5.0,3,,60.1,monthly,1,active,0,0,,100.0,low,8.0,moderate,moderate_risk,18.0,Arizona,Mesa,upper_middle,very_good,standard,17.0,Ford,Focus,2018,hatchback,14311.06,11041,family,420.7,57.330000000000034,53.16,0.0,420.7,367.54,low,2.0,6.975,3.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00018,CUST00017,VEH00018,2025-08-24,2026-08-23,full_coverage,comprehensive,250,0.638,85.27,7.35,0,4.0,75.59,monthly,1,active,0,0,,87.0,low,11.35,high,moderate_risk,64.0,Florida,Tampa,upper_middle,very_good,budget,24.0,Kia,Sportage,2022,pickup,16211.14,12805,family,377.9500000000001,48.39999999999996,223.39,0.0,377.9500000000001,154.56000000000006,low,5.0,15.848000000000003,2.3333333333333335,0.4,0.0,0.0,moderate,0.0,0.0,0.0
POL00019,CUST00018,VEH00019,2025-07-19,2026-07-18,full_coverage,comprehensive,1000,0.694,67.68,11.76,0,0.0,59.72,monthly,1,active,0,0,,86.6,low,11.76,high,moderate_risk,68.0,Illinois,Chicago,lower_middle,very_good,premium,6.0,Kia,Forte,2010,sedan,3500.0,12805,leisure,358.32,47.76000000000005,59.33,0.0,358.32,298.99,low,1.0,31.66,0.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00020,CUST00019,VEH00020,2025-04-24,2026-04-23,standard,enhanced,1000,0.758,73.96,6.18,0,0.0,69.39,quarterly,0,lapsed,0,1,moved_to_competitor,89.9,low,6.18,moderate,moderate_risk,18.0,Ohio,Cleveland,low,very_good,standard,36.0,Honda,Civic,2019,sedan,16913.33,2500,family,624.51,41.12999999999994,22.4,0.0,624.51,602.11,medium,1.0,0.5,5.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00021,CUST00020,VEH00021,2025-04-17,2026-04-16,liability_only,comprehensive,1000,0.771,102.13,3.82,3,0.0,95.16,quarterly,0,renewed,1,0,,63.9,mid,6.82,moderate,moderate_risk,19.0,Arizona,Mesa,middle,good,budget,4.0,Jeep,Grand Cherokee,2021,suv,24673.3,8122,commercial_light,856.4399999999999,62.72999999999999,64.96,0.0,1327.482,791.4799999999999,medium,2.0,14.349999999999998,3.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00022,CUST00021,VEH00023,2024-12-14,2025-12-13,standard,enhanced,500,0.689,101.48,,7,0.0,89.9,monthly,0,renewed,1,0,,70.7,mid,7.0,moderate,moderate_risk,52.0,Georgia,Atlanta,low,very_good,standard,32.0,Tesla,Model Y,2010,suv,24810.83,18049,family,1078.8000000000002,138.95999999999998,102.85,0.0,1672.1400000000003,975.9500000000002,medium,3.0,17.02,5.0,0.0,0.3333333333333333,57.22,moderate,0.0,0.0,0.0
POL00023,CUST00022,VEH00024,2024-03-28,2025-03-27,full_coverage,comprehensive,500,0.694,99.24,7.65,5,6.0,80.73,quarterly,1,active,0,0,,84.1,mid,18.65,high,moderate_risk,50.0,Georgia,Athens,lower_middle,good,budget,29.0,Nissan,Altima,2023,sedan,18066.47,15578,family,242.19,55.52999999999997,16.4,0.0,242.19,225.79,low,1.0,0.5,2.0,1.0,1.0,0.0,low,2.0,4281.35,0.0
POL00024,CUST00023,VEH00025,2024-11-16,2025-11-15,premium,enhanced,250,0.657,92.4,4.12,0,0.0,88.59,semiannual,1,active,0,0,,83.0,mid,4.12,low,moderate_risk,46.0,New York,Albany,,fair,premium,33.0,Jeep,Compass,2012,suv,15437.87,9485,commuting,974.49,41.910000000000025,27.43,0.0,974.49,947.06,medium,2.0,2.14,2.0,0.5,0.0,0.0,low,0.0,0.0,0.0
POL00025,CUST00023,VEH00026,2024-07-11,2025-07-10,full_coverage,enhanced,1500,0.627,79.86,5.29,0,8.0,69.25,quarterly,1,active,0,0,,69.0,low,13.29,high,moderate_risk,46.0,New York,Albany,,fair,premium,33.0,Jeep,Grand Cherokee,2020,suv,16240.37,13376,mixed,484.75,74.27,79.03,0.0,484.75,405.72,low,1.0,56.29,0.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00026,CUST00024,VEH00027,2025-03-15,2026-03-14,full_coverage,enhanced,1000,0.614,56.73,13.53,5,6.0,42.81,quarterly,1,active,0,0,,82.4,low,24.53,very_high,moderate_risk,29.0,Arizona,Tempe,upper_middle,very_good,premium,38.0,Honda,Cr-V,2018,suv,11379.5,9046,commuting,428.1,139.19999999999993,177.48000000000002,0.0,428.1,250.62,low,2.0,58.43,4.5,0.0,0.5,0.0,low,0.0,0.0,0.0
POL00027,CUST00025,VEH00028,2025-03-03,2026-03-02,liability_only,basic,500,0.598,50.01,13.53,3,0.0,41.74,annual,0,active,0,0,,85.2,low,16.53,high,low_risk,57.0,Florida,Orlando,upper_middle,excellent,budget,10.0,Tesla,Model Y,2025,suv,48628.24,6754,leisure,417.4,82.69999999999996,151.44,0.0,417.4,265.96000000000004,low,3.0,30.603333333333335,4.0,0.0,0.0,0.0,moderate,0.0,0.0,0.0
POL00028,CUST00026,VEH00029,2024-08-02,2025-08-01,standard,enhanced,250,0.596,82.29,4.71,0,0.0,78.41,monthly,0,active,0,0,,69.2,low,4.71,low,low_risk,41.0,Pennsylvania,Erie,middle,very_good,budget,8.0,Chevrolet,Silverado,2024,pickup,28718.18,13592,family,627.28,31.04000000000008,104.2,0.0,627.28,523.0799999999999,medium,2.0,35.125,0.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00029,CUST00027,VEH00030,2025-03-25,2026-03-24,standard,basic,1000,0.58,78.11,12.94,0,4.0,64.88,annual,1,active,0,0,,74.0,low,16.939999999999998,high,low_risk,31.0,Georgia,Savannah,middle,fair,standard,38.0,Tesla,Model 3,2025,sedan,39005.37,10740,commuting,648.8,132.30000000000004,152.76999999999998,0.0,648.8,496.03,low,3.0,22.823333333333334,5.0,0.0,0.0,0.0,moderate,0.0,0.0,0.0
POL00030,CUST00027,VEH00031,2025-04-05,2026-04-04,standard,comprehensive,250,0.688,46.38,8.24,3,0.0,41.17,monthly,1,renewed,1,0,,86.5,low,11.24,high,moderate_risk,31.0,Georgia,Savannah,middle,fair,standard,38.0,Honda,Cr-V,2012,minivan,7591.41,10135,leisure,370.53,46.89000000000001,305.1,0.0,574.3215,65.43,low,4.0,37.845,2.3333333333333335,0.75,0.25,23.23,moderate,0.0,0.0,0.0
POL00031,CUST00028,VEH00032,2025-07-25,2026-07-24,liability_only,basic,1500,0.745,40.0,9.12,0,0.0,36.35,quarterly,0,cancelled,0,1,service_issues,81.4,low,9.12,moderate,moderate_risk,24.0,Texas,Houston,lower_middle,good,standard,40.0,Kia,Forte,2017,sedan,11558.57,6231,family,218.1,21.89999999999999,51.77,0.0,218.1,166.33,low,2.0,6.11,3.0,0.0,0.5,0.0,low,0.0,0.0,0.0
POL00032,CUST00029,VEH00033,2024-01-31,2025-01-29,full_coverage,basic,500,0.633,75.06,5.59,3,0.0,68.61,semiannual,1,active,0,0,,87.1,low,8.59,moderate,moderate_risk,55.0,Florida,Jacksonville,high,fair,standard,7.0,Hyundai,Kona,2021,suv,16916.79,18070,commuting,68.61,6.450000000000003,97.33,873.42,68.61,-902.14,negative,2.0,24.58,0.0,0.5,0.0,0.0,low,1.0,1276.88,873.42
POL00033,CUST00030,VEH00034,2025-01-18,2026-01-17,premium,basic,1000,0.634,81.49,3.53,0,0.0,78.61,monthly,1,renewed,1,0,,75.3,low,3.53,low,moderate_risk,62.0,Arizona,Tempe,low,good,budget,7.0,Jeep,Compass,2018,suv,19021.2,13199,family,943.32,34.559999999999945,0.0,0.0,1462.146,943.32,medium,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0
POL00034,CUST00031,VEH00035,2024-05-22,2025-05-21,standard,enhanced,250,0.561,40.0,11.47,0,0.0,35.41,quarterly,0,active,0,0,,88.7,low,11.47,high,low_risk,38.0,Ohio,Cincinnati,high,fair,standard,10.0,Chevrolet,Silverado,2012,pickup,3500.0,6401,commuting,177.04999999999998,22.950000000000017,95.56,0.0,177.04999999999998,81.48999999999998,low,3.0,11.479999999999999,4.0,0.0,0.6666666666666666,47.89,moderate,0.0,0.0,0.0
POL00035,CUST00032,VEH00036,2025-08-14,2026-08-13,full_coverage,enhanced,1000,0.827,69.62,12.65,5,0.0,57.33,monthly,0,active,0,0,,67.3,low,17.65,high,moderate_risk,18.0,Texas,Austin,lower_middle,very_good,budget,4.0,Kia,Sportage,2012,suv,6812.9,21396,commuting,286.65,61.45000000000003,21.08,0.0,286.65,265.57,low,1.0,6.35,4.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00036,CUST00032,VEH00037,2024-05-11,2025-05-10,standard,enhanced,500,0.938,121.94,6.18,0,0.0,114.4,monthly,0,active,0,0,,90.6,mid,6.18,moderate,high_risk,18.0,Texas,Austin,lower_middle,very_good,budget,4.0,Jeep,Compass,2025,suv,32176.58,15965,leisure,572.0,37.69999999999996,52.69,3254.42,572.0,-2735.11,negative,2.0,11.68,4.5,0.0,0.0,0.0,low,1.0,3800.8,3254.42
POL00037,CUST00032,VEH00038,2024-11-08,2025-11-07,liability_only,enhanced,500,0.92,42.59,4.12,7,6.0,35.3,semiannual,1,lapsed,0,1,moved_to_competitor,87.9,low,17.12,high,high_risk,18.0,Texas,Austin,lower_middle,very_good,budget,4.0,Hyundai,Tucson,2016,suv,3500.0,15955,family,388.3,80.19000000000007,86.54,0.0,388.3,301.75999999999993,low,1.0,58.17,4.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00038,CUST00033,VEH00039,2024-01-10,2025-01-08,standard,enhanced,1500,0.648,43.06,4.12,5,6.0,36.55,semiannual,1,cancelled,0,1,moved_to_competitor,48.7,low,15.120000000000001,high,moderate_risk,33.0,Texas,Austin,,very_good,standard,18.0,Subaru,Outback,2015,suv,11418.25,12755,leisure,36.55,6.510000000000005,0.0,0.0,36.55,36.55,low,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0
POL00039,CUST00034,VEH00040,2025-05-26,2026-05-25,standard,enhanced,1000,0.579,66.1,7.35,3,4.0,56.61,annual,1,lapsed,0,1,billing_problems,89.7,low,14.35,high,low_risk,40.0,North Carolina,Charlotte,upper_middle,good,budget,30.0,Chevrolet,Bolt,2016,pickup,13499.42,5998,commuting,452.88,75.91999999999996,205.36,2873.29,452.88,-2625.77,negative,3.0,41.906666666666666,4.5,0.0,0.0,0.0,moderate,1.0,4312.83,2873.29
POL00040,CUST00035,VEH00041,2024-12-29,2025-12-28,full_coverage,enhanced,500,0.608,112.8,10.88,5,4.0,90.38,quarterly,1,cancelled,0,1,price_increase,82.4,mid,19.880000000000003,high,moderate_risk,47.0,Ohio,Columbus,upper_middle,poor,budget,5.0,Chevrolet,Equinox,2018,suv,20988.89,15052,mixed,1084.56,269.04,106.29,241.04,1084.56,737.23,medium,2.0,30.18,4.0,0.0,0.0,0.0,low,1.0,269.17,241.04
POL00041,CUST00036,VEH00042,2024-12-13,2025-12-12,standard,basic,500,0.674,68.62,12.06,0,0.0,60.34,monthly,1,active,0,0,,76.6,low,12.06,high,moderate_risk,58.0,Ohio,Cleveland,lower_middle,very_good,high_value,37.0,Chevrolet,Equinox,2016,suv,19219.68,19885,mixed,724.08,99.36,47.78,0.0,724.08,676.3000000000001,medium,1.0,24.73,3.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00042,CUST00037,VEH00043,2024-08-18,2025-08-17,standard,comprehensive,1500,0.619,77.7,11.18,0,0.0,69.01,semiannual,0,renewed,1,0,,76.0,low,11.18,high,moderate_risk,61.0,Florida,Miami,lower_middle,fair,premium,7.0,Chevrolet,Silverado,2014,pickup,11356.37,8633,commuting,552.08,69.51999999999998,93.99,0.0,855.724,458.09,low,2.0,22.494999999999997,3.0,0.5,0.5,23.13,low,1.0,846.77,0.0
POL00043,CUST00038,VEH00044,2025-03-05,2026-03-04,standard,basic,250,0.637,40.0,7.94,3,0.0,35.62,annual,1,lapsed,0,1,moved_to_competitor,100.0,low,10.940000000000001,high,moderate_risk,38.0,North Carolina,Charlotte,middle,very_good,standard,40.0,Honda,Civic,2012,sedan,5341.47,16289,leisure,356.2,43.800000000000026,137.02,0.0,356.2,219.18,low,5.0,10.756,3.6666666666666665,0.0,0.2,12.28,moderate,0.0,0.0,0.0
POL00044,CUST00038,VEH00045,2025-03-11,2026-03-10,standard,enhanced,500,0.622,56.53,14.71,5,4.0,43.13,monthly,1,cancelled,0,1,billing_problems,46.1,low,23.71,very_high,moderate_risk,38.0,North Carolina,Charlotte,middle,very_good,standard,40.0,Tesla,Model 3,2011,minivan,23386.09,12448,leisure,431.3,134.0,118.18,0.0,431.3,313.12,low,3.0,17.576666666666668,4.0,0.0,0.0,0.0,moderate,0.0,0.0,0.0
POL00045,CUST00039,VEH00046,2025-02-17,2026-02-16,premium,basic,1000,0.647,98.92,14.71,3,0.0,81.4,semiannual,1,active,0,0,,61.1,mid,17.71,high,moderate_risk,76.0,Illinois,Springfield,low,excellent,standard,44.0,Tesla,Model Y,2020,hatchback,37461.54,8251,commuting,895.4000000000001,192.72,0.0,0.0,895.4000000000001,895.4000000000001,medium,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0
POL00046,CUST00040,VEH00047,2025-07-04,2026-07-03,liability_only,basic,250,0.723,78.75,11.47,0,,69.72,monthly,0,cancelled,0,1,price_increase,71.0,low,11.47,high,moderate_risk,57.0,Pennsylvania,Philadelphia,lower_middle,very_good,premium,42.0,Tesla,Model Y,2025,suv,36531.36,14460,family,418.32,54.18000000000001,97.74,0.0,418.32,320.58,low,2.0,18.585,1.0,0.0,1.0,58.730000000000004,low,0.0,0.0,0.0
POL00047,CUST00041,VEH00048,2024-11-02,2025-11-01,premium,enhanced,500,0.572,83.45,7.06,3,4.0,172.128,semiannual,1,active,0,0,,82.1,high,14.059999999999999,high,low_risk,39.0,Texas,Dallas,middle,poor,premium,39.0,Ford,F-150,2022,pickup,24305.07,6774,commuting,1893.408,0.0,137.0,0.0,1893.408,1756.408,medium,1.0,172.56,0.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00048,CUST00042,VEH00049,2024-11-29,2025-11-28,standard,enhanced,500,0.705,67.62,10.88,0,0.0,60.26,monthly,1,active,0,0,,80.9,low,10.88,high,moderate_risk,56.0,Ohio,Cleveland,low,fair,budget,30.0,Chevrolet,Equinox,2011,suv,3500.0,22979,commuting,662.86,80.96000000000006,77.79,0.0,662.86,585.07,medium,3.0,6.580000000000001,4.0,0.0,0.0,0.0,moderate,0.0,0.0,0.0
POL00049,CUST00043,VEH00050,2025-08-24,2026-08-23,premium,enhanced,250,0.687,113.17,4.71,7,0.0,99.92,monthly,1,cancelled,0,1,price_increase,92.2,mid,11.71,high,moderate_risk,36.0,New York,Buffalo,middle,very_good,budget,26.0,Jeep,Grand Cherokee,2025,sedan,33488.62,7817,commuting,499.6,66.25,64.96000000000001,0.0,499.6,434.64,low,2.0,4.35,1.0,0.5,0.0,0.0,low,0.0,0.0,0.0
POL00050,CUST00043,VEH00051,2024-01-24,2025-01-22,premium,basic,1000,0.75,77.35,1.47,0,8.0,70.02,annual,1,cancelled,0,1,,93.6,low,9.47,moderate,moderate_risk,36.0,New York,Buffalo,middle,very_good,budget,26.0,Jeep,Compass,2021,suv,21071.92,14820,commuting,70.02,7.329999999999998,142.57,0.0,70.02,-72.55,negative,2.0,44.105,0.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00051,CUST00044,VEH00052,2025-08-04,2026-08-03,full_coverage,comprehensive,500,0.751,124.59,11.76,7,4.0,96.23,monthly,0,renewed,1,0,,73.7,mid,22.759999999999998,very_high,moderate_risk,72.0,Georgia,Athens,lower_middle,good,standard,13.0,Kia,Forte,2024,sedan,17968.2,11420,family,481.15,141.8,116.45,0.0,745.7825,364.7000000000001,low,2.0,35.285000000000004,5.0,0.0,0.5,29.61,low,0.0,0.0,0.0
POL00052,CUST00045,VEH00053,2024-02-02,2025-01-31,liability_only,enhanced,500,0.564,63.15,7.94,0,0.0,58.14,monthly,0,active,0,0,,53.3,low,7.94,moderate,low_risk,37.0,Texas,Dallas,middle,good,standard,32.0,Honda,Odyssey,2020,minivan,20451.09,7106,mixed,58.14,5.009999999999998,105.81,0.0,58.14,-47.67,negative,2.0,9.255,4.5,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00053,CUST00046,VEH00054,2024-05-22,2025-05-21,standard,basic,500,0.615,40.24,12.35,0,0.0,35.27,semiannual,0,active,0,0,,82.5,low,12.35,high,moderate_risk,31.0,Georgia,Atlanta,lower_middle,excellent,premium,8.0,Toyota,Corolla,2016,sedan,10118.48,13678,commuting,176.35000000000002,24.849999999999994,179.85,0.0,176.35000000000002,-3.499999999999972,negative,4.0,23.0775,4.0,0.0,0.0,0.0,moderate,0.0,0.0,0.0
POL00054,CUST00047,VEH00055,2024-06-06,2025-06-05,full_coverage,enhanced,500,0.673,103.99,,3,4.0,88.14,monthly,1,active,0,0,,88.3,mid,7.0,moderate,moderate_risk,77.0,Pennsylvania,Pittsburgh,upper_middle,good,standard,47.0,Kia,Rio,2020,sedan,17409.97,8648,commuting,528.84,95.09999999999997,160.8,0.0,528.84,368.04,low,2.0,48.255,3.0,0.0,0.0,0.0,low,0.0,0.0,0.0
POL00055,CUST00048,VEH00056,2024-12-04,2025-12-03,standard,enhanced,500,0.815,65.98,12.94,0,0.0,57.44,monthly,1,lapsed,0,1,price_increase,100.0,low,12.94,high,moderate_risk,19.0,California,San Diego,upper_middle,good,standard,43.0,Hyundai,Tucson,2015,suv,9327.31,18549,mixed,689.28,102.48000000000008,20.05,0.0,689.28,669.23,medium,1.0,5.06,3.0,1.0,0.0,0.0,low,0.0,0.0,0.0
POL00056,CUST00049,VEH00057,2025-08-04,2026-08-03,liability_only,basic,1000,0.626,43.42,5.88,0,0.0,40.87,monthly,0,active,0,0,,91.8,low,5.88,moderate,moderate_risk,50.0,Georgia,Atlanta,high,excellent,standard,13.0,Jeep,Grand Cherokee,2017,suv,20242.8,21284,commercial_light,204.35,12.75000000000002,68.19,0.0,204.35,136.16,low,3.0,7.576666666666667,3.0,0.0,0.6666666666666666,13.09,moderate,0.0,0.0,0.0
POL00057,CUST00050,VEH00058,2025-09-09,2026-09-08,standard,basic,500,0.601,52.98,8.82,3,0.0,46.72,quarterly,1,cancelled,0,1,service_issues,90.0,low,11.82,high,moderate_risk,38.0,Illinois,Naperville,high,good,high_value,33.0,Nissan,Leaf,2020,hatchback,19590.85,12516,mixed,186.88,25.039999999999992,108.59,0.0,186.88,78.28999999999999,low,5.0,6.15,4.0,0.0,0.0,0.0,moderate,0.0,0.0,0.0
