driving_record_id,policy_id,customer_id,vehicle_id,observation_month,driving_score,avg_trip_distance,trips_per_week,hard_brakes_count,rapid_acceleration_count,night_driving_pct,weekend_driving_pct,distracted_driving_flag,speeding_events_count,urban_driving_pct,highway_driving_pct,mileage_logged
DRV000093,POL00010,CUST00009,VEH00010,2025-01-01,83.0,12.07,11,8,6,0.118,0.397,0,3,0.554,0.428,180.0
DRV000094,POL00010,CUST00009,VEH00010,2025-02-01,79.0,15.07,2,9,7,0.501,0.501,0,6,0.892,0.193,238.0
DRV000095,POL00010,CUST00009,VEH00010,2025-03-01,65.0,17.19,12,12,8,0.429,0.17,1,11,0.855,0.132,354.0
DRV000096,POL00010,CUST00009,VEH00010,2025-04-01,71.0,14.09,8,4,5,0.607,0.356,0,7,0.67,0.338,468.0
DRV000097,POL00010,CUST00009,VEH00010,2025-05-01,92.0,10.72,5,6,1,0.56,0.364,0,2,0.285,0.687,365.0
DRV000098,POL00010,CUST00009,VEH00010,2025-06-01,79.0,13.12,6,4,2,0.266,0.282,0,4,0.843,0.242,707.0
DRV000099,POL00010,CUST00009,VEH00010,2025-07-01,84.0,19.68,6,6,5,0.268,0.737,0,5,0.342,0.773,689.0
DRV000100,POL00010,CUST00009,VEH00010,2025-08-01,80.0,12.52,9,7,3,0.244,0.337,0,2,0.909,0.065,391.0
DRV000101,POL00010,CUST00009,VEH00010,2025-09-01,73.0,5.85,7,6,6,0.458,0.264,0,10,0.463,0.663,388.0
DRV000102,POL00010,CUST00009,VEH00010,2025-10-01,83.0,6.79,9,5,5,0.454,0.641,0,3,0.579,0.418,347.0
DRV000103,POL00010,CUST00009,VEH00010,2025-11-01,77.0,8.69,7,7,5,0.246,0.382,1,3,0.59,0.478,159.0
DRV000104,POL00010,CUST00009,VEH00010,2025-12-01,80.0,12.77,4,3,3,0.729,0.576,0,0,0.736,0.292,334.0
DRV000105,POL00011,CUST00010,VEH00011,2025-01-01,78.0,14.88,8,5,6,0.289,0.239,0,1,0.485,0.629,1102.0
DRV000106,POL00011,CUST00010,VEH00011,2025-02-01,74.0,5.27,4,9,9,0.211,0.616,0,6,0.797,0.321,1378.0
DRV000107,POL00011,CUST00010,VEH00011,2025-03-01,85.0,8.79,9,8,3,0.366,0.271,0,2,0.699,0.424,1284.0
DRV000108,POL00011,CUST00010,VEH00011,2025-04-01,69.0,11.82,9,10,14,0.568,0.614,0,11,0.682,0.429,1114.0
DRV000109,POL00011,CUST00010,VEH00011,2025-05-01,89.0,7.95,6,4,6,0.072,0.146,0,3,0.727,0.278,1149.0
DRV000110,POL00011,CUST00010,VEH00011,2025-06-01,66.0,9.12,13,14,10,0.027,0.404,1,3,0.85,0.123,481.0
DRV000111,POL00011,CUST00010,VEH00011,2025-07-01,66.0,12.13,8,19,11,0.327,0.536,0,9,0.75,0.306,1173.0
DRV000112,POL00011,CUST00010,VEH00011,2025-08-01,85.0,20.98,5,8,5,0.44,0.403,0,2,0.702,0.414,1157.0
DRV000113,POL00011,CUST00010,VEH00011,2025-09-01,77.0,14.95,2,6,6,0.293,0.398,0,6,0.738,0.127,1198.0
DRV000114,POL00011,CUST00010,VEH00011,2025-10-01,85.0,10.21,6,7,4,0.42,0.534,0,6,0.824,0.093,722.0
DRV000115,POL00011,CUST00010,VEH00011,2025-11-01,88.0,12.03,2,3,7,0.341,0.411,0,8,0.455,0.545,806.0
DRV000116,POL00011,CUST00010,VEH00011,2025-12-01,75.0,10.81,5,12,5,0.014,0.677,0,13,0.511,0.521,1281.0
DRV000117,POL00012,CUST00011,VEH00012,2025-01-01,77.0,3.77,4,12,4,0.335,0.244,0,6,0.637,0.326,1069.0
DRV000118,POL00012,CUST00011,VEH00012,2025-02-01,75.0,8.13,6,11,3,0.21,0.307,0,11,0.695,0.088,797.0
DRV000119,POL00012,CUST00011,VEH00012,2025-03-01,87.0,6.56,7,10,7,0.043,0.651,0,5,0.644,0.352,911.0
DRV000120,POL00012,CUST00011,VEH00012,2025-05-01,66.0,13.99,8,20,11,0.266,0.518,0,5,0.807,0.154,713.0
DRV000121,POL00012,CUST00011,VEH00012,2025-06-01,81.0,16.0,7,12,3,0.186,0.494,1,3,0.591,0.315,832.0
DRV000122,POL00012,CUST00011,VEH00012,2025-07-01,82.0,4.73,9,8,9,0.168,0.355,0,4,0.693,0.19,900.0
DRV000123,POL00012,CUST00011,VEH00012,2025-09-01,77.0,15.79,10,5,5,0.453,0.627,0,3,0.635,0.429,607.0
DRV000124,POL00012,CUST00011,VEH00012,2025-10-01,71.0,3.68,3,11,5,0.32,0.4,0,9,0.802,0.209,1119.0
DRV000125,POL00012,CUST00011,VEH00012,2025-11-01,84.0,8.04,9,4,6,0.061,0.599,0,3,0.638,0.551,1184.0
DRV000126,POL00012,CUST00011,VEH00012,2025-12-01,76.0,9.38,8,6,13,0.236,0.283,0,5,0.77,0.303,929.0
DRV000127,POL00013,CUST00012,VEH00013,2025-01-01,72.0,13.35,6,12,7,0.144,0.702,0,11,0.261,0.84,1080.0
DRV000128,POL00013,CUST00012,VEH00013,2025-02-01,84.0,15.87,5,5,7,0.089,0.814,0,3,0.147,0.881,1813.0
DRV000129,POL00013,CUST00012,VEH00013,2025-03-01,70.0,10.88,8,16,6,0.177,0.149,1,5,0.714,0.3,1185.0
DRV000130,POL00013,CUST00012,VEH00013,2025-04-01,85.0,10.45,13,6,8,0.317,0.313,0,4,0.392,0.64,
DRV000131,POL00013,CUST00012,VEH00013,2025-05-01,78.0,1.5,7,6,4,0.167,0.485,1,4,0.356,0.762,1518.0
DRV000132,POL00013,CUST00012,VEH00013,2025-06-01,88.0,6.31,8,4,7,0.14,0.351,0,5,0.738,0.169,1585.0
DRV000133,POL00013,CUST00012,VEH00013,2025-07-01,86.0,7.54,6,5,7,0.319,0.431,0,5,0.601,0.584,1537.0
DRV000134,POL00013,CUST00012,VEH00013,2025-08-01,78.0,12.61,9,9,7,0.174,0.401,0,5,0.416,0.664,1834.0
DRV000135,POL00013,CUST00012,VEH00013,2025-09-01,76.0,3.96,10,7,5,0.144,0.568,1,3,0.521,0.538,1522.0
DRV000136,POL00013,CUST00012,VEH00013,2025-10-01,81.0,17.76,9,7,4,0.343,0.459,1,4,0.685,0.172,1846.0
DRV000137,POL00013,CUST00012,VEH00013,2025-11-01,82.0,17.63,5,11,6,0.159,0.382,0,2,0.277,0.674,1589.0
DRV000138,POL00013,CUST00012,VEH00013,2025-12-01,69.0,15.09,5,9,10,0.321,0.403,1,17,0.689,0.189,1399.0
DRV000139,POL00014,CUST00013,VEH00014,2025-01-01,67.0,13.63,4,14,4,0.142,0.325,0,13,0.702,0.275,895.0
DRV000140,POL00014,CUST00013,VEH00014,2025-02-01,81.0,5.72,5,6,10,0.294,0.249,0,3,0.481,0.717,420.0
DRV000141,POL00014,CUST00013,VEH00014,2025-03-01,81.0,6.38,9,6,6,0.426,0.576,0,9,0.661,0.284,733.0
DRV000142,POL00014,CUST00013,VEH00014,2025-04-01,67.0,3.48,8,13,9,0.383,0.621,1,11,0.766,0.147,647.0
DRV000143,POL00014,CUST00013,VEH00014,2025-05-01,63.0,4.97,5,14,10,0.097,0.512,0,7,0.545,0.493,757.0
DRV000144,POL00014,CUST00013,VEH00014,2025-06-01,69.0,15.45,8,12,14,0.428,0.297,0,9,0.594,0.546,637.0
DRV000145,POL00014,CUST00013,VEH00014,2025-07-01,75.0,15.11,6,8,5,0.202,0.143,0,4,0.364,0.7,529.0
DRV000146,POL00014,CUST00013,VEH00014,2025-08-01,89.0,11.39,6,9,8,0.219,0.194,1,4,0.867,0.204,838.0
DRV000147,POL00014,CUST00013,VEH00014,2025-09-01,69.0,14.35,9,10,7,0.245,0.248,0,14,0.801,0.317,467.0
DRV000148,POL00014,CUST00013,VEH00014,2025-10-01,87.0,7.15,6,9,7,0.255,0.486,1,5,0.739,0.341,253.0
DRV000149,POL00014,CUST00013,VEH00014,2025-11-01,77.0,19.23,6,5,5,0.094,0.26,0,3,0.489,0.59,1093.0
DRV000150,POL00014,CUST00013,VEH00014,2025-12-01,86.0,15.22,6,3,6,0.293,0.485,1,5,0.306,0.655,572.0
DRV000151,POL00015,CUST00014,VEH00015,2025-01-01,74.0,7.8,4,7,9,0.288,0.28,1,8,0.49,0.41,1278.0
DRV000152,POL00015,CUST00014,VEH00015,2025-02-01,70.0,10.96,5,17,7,0.368,0.281,1,11,0.613,0.357,1373.0
DRV000153,POL00015,CUST00014,VEH00015,2025-03-01,82.0,11.01,7,3,6,0.369,0.65,0,3,0.806,0.259,1472.0
DRV000154,POL00015,CUST00014,VEH00015,2025-05-01,77.0,13.13,7,7,7,0.251,0.803,0,5,0.549,0.597,1529.0
DRV000155,POL00015,CUST00014,VEH00015,2025-06-01,78.0,9.39,3,8,8,0.215,0.384,0,1,0.708,0.198,1295.0
DRV000156,POL00015,CUST00014,VEH00015,2025-07-01,76.0,14.89,8,11,2,0.257,0.778,0,3,0.611,0.26,1375.0
DRV000157,POL00015,CUST00014,VEH00015,2025-09-01,82.0,19.75,8,6,6,0.176,0.714,0,4,0.537,0.463,1627.0
DRV000158,POL00015,CUST00014,VEH00015,2025-10-01,66.0,19.33,13,8,14,0.454,0.228,0,10,0.745,0.333,909.0
DRV000159,POL00015,CUST00014,VEH00015,2025-11-01,76.0,2.87,10,6,3,0.204,0.678,0,3,0.902,0.0,1249.0
DRV000160,POL00015,CUST00014,VEH00015,2025-12-01,79.0,11.98,9,8,2,0.175,0.458,1,2,0.573,0.417,1404.0
DRV000161,POL00016,CUST00015,VEH00016,2025-01-01,79.0,17.78,9,8,5,0.08,0.24,0,5,0.841,0.255,671.0
DRV000162,POL00016,CUST00015,VEH00016,2025-03-01,77.0,1.5,7,8,6,0.163,0.48,0,3,0.661,0.33,639.0
DRV000163,POL00016,CUST00015,VEH00016,2025-05-01,78.0,4.59,9,7,9,0.442,0.469,0,7,0.478,0.615,292.0
DRV000164,POL00016,CUST00015,VEH00016,2025-07-01,81.0,7.18,12,7,11,0.222,0.675,0,9,0.715,0.354,461.0
DRV000165,POL00016,CUST00015,VEH00016,2025-11-01,71.0,16.28,7,12,4,0.324,0.389,0,5,0.72,0.227,306.0
DRV000166,POL00016,CUST00015,VEH00016,2025-12-01,68.0,10.18,8,14,15,0.187,0.159,0,7,0.43,0.591,857.0
DRV000167,POL00017,CUST00016,VEH00017,2025-01-01,72.0,14.53,10,6,2,0.277,0.771,1,6,0.626,0.299,824.0
DRV000168,POL00017,CUST00016,VEH00017,2025-02-01,68.0,7.93,4,8,13,0.601,0.127,0,9,0.705,0.309,935.0
DRV000169,POL00017,CUST00016,VEH00017,2025-03-01,66.0,9.97,11,11,14,0.334,0.522,0,14,0.651,0.352,
DRV000170,POL00017,CUST00016,VEH00017,2025-04-01,68.0,19.56,14,11,11,0.056,0.208,0,8,0.597,0.485,521.0
DRV000171,POL00017,CUST00016,VEH00017,2025-05-01,86.0,17.85,7,4,7,0.135,0.437,1,3,0.801,0.195,1092.0
DRV000172,POL00017,CUST00016,VEH00017,2025-06-01,79.0,16.94,6,10,1,0.117,0.317,0,7,0.567,0.335,848.0
DRV000173,POL00017,CUST00016,VEH00017,2025-07-01,76.0,21.36,8,10,7,0.496,0.088,0,5,0.765,0.199,921.0
DRV000174,POL00017,CUST00016,VEH00017,2025-08-01,72.0,8.41,6,7,2,0.332,0.24,1,7,0.666,0.297,710.0
DRV000175,POL00017,CUST00016,VEH00017,2025-09-01,77.0,2.94,3,3,3,0.273,0.348,0,4,0.728,0.378,1067.0
DRV000176,POL00017,CUST00016,VEH00017,2025-10-01,88.0,18.79,7,7,9,0.282,0.729,0,1,0.742,0.321,1176.0
DRV000177,POL00017,CUST00016,VEH00017,2025-11-01,76.0,21.43,5,5,4,0.248,0.264,0,0,0.767,0.23,924.0
DRV000178,POL00017,CUST00016,VEH00017,2025-12-01,75.0,16.55,8,11,6,0.341,0.53,0,11,0.65,0.297,770.0
DRV000179,POL00018,CUST00017,VEH00018,2025-01-01,77.0,7.17,7,6,6,0.244,0.368,0,2,0.781,0.3,901.0
DRV000180,POL00018,CUST00017,VEH00018,2025-02-01,76.0,10.89,9,4,3,0.053,0.237,0,3,0.756,0.239,1077.0
DRV000181,POL00018,CUST00017,VEH00018,2025-03-01,86.0,8.78,9,7,9,0.208,0.293,0,9,0.523,0.428,1175.0
DRV000182,POL00018,CUST00017,VEH00018,2025-04-01,72.0,15.45,6,9,5,0.402,0.578,1,3,0.6,0.511,1107.0
DRV000183,POL00018,CUST00017,VEH00018,2025-05-01,76.0,11.58,10,4,5,0.355,0.404,0,6,0.711,0.268,966.0
DRV000184,POL00018,CUST00017,VEH00018,2025-06-01,66.0,9.9,5,10,17,0.053,0.506,1,15,0.858,0.254,778.0
DRV000185,POL00018,CUST00017,VEH00018,2025-07-01,65.0,9.37,6,10,8,0.125,0.298,0,14,0.573,0.523,900.0
DRV000186,POL00018,CUST00017,VEH00018,2025-08-01,81.0,3.14,7,7,5,0.438,0.657,0,3,0.79,0.295,872.0
DRV000187,POL00018,CUST00017,VEH00018,2025-09-01,82.0,7.13,8,6,5,0.359,0.623,0,3,0.741,0.238,598.0
DRV000188,POL00018,CUST00017,VEH00018,2025-10-01,62.0,5.72,7,9,6,0.04,0.427,0,10,0.925,0.102,915.0
DRV000189,POL00018,CUST00017,VEH00018,2025-11-01,90.0,9.38,12,6,8,0.247,0.303,0,3,0.862,0.24,1526.0
DRV000190,POL00018,CUST00017,VEH00018,2025-12-01,72.0,7.93,12,11,4,0.12,0.422,0,14,0.707,0.293,1099.0
DRV000191,POL00019,CUST00018,VEH00019,2025-01-01,81.0,13.36,7,9,5,0.013,0.28,0,4,0.439,0.469,
DRV000192,POL00019,CUST00018,VEH00019,2025-02-01,81.0,2.18,6,5,3,0.504,0.368,0,3,0.67,0.258,1253.0
DRV000193,POL00019,CUST00018,VEH00019,2025-03-01,71.0,12.3,6,9,7,0.274,0.607,1,9,0.383,0.516,613.0
DRV000194,POL00019,CUST00018,VEH00019,2025-04-01,73.0,12.52,10,6,6,0.552,0.239,0,10,0.79,0.186,1237.0
DRV000195,POL00019,CUST00018,VEH00019,2025-05-01,81.0,13.3,4,10,7,0.192,0.754,1,4,0.282,0.653,1129.0
DRV000196,POL00019,CUST00018,VEH00019,2025-06-01,95.0,7.98,8,2,1,0.132,0.67,0,1,0.866,0.234,1075.0
DRV000197,POL00019,CUST00018,VEH00019,2025-07-01,97.0,17.67,2,9,11,0.197,0.447,0,4,0.766,0.194,1218.0
DRV000198,POL00019,CUST00018,VEH00019,2025-08-01,66.0,16.79,6,18,9,0.189,0.318,0,7,0.693,0.214,990.0
DRV000199,POL00019,CUST00018,VEH00019,2025-09-01,77.0,17.09,3,7,7,0.127,0.122,0,4,0.422,0.734,844.0
DRV000200,POL00019,CUST00018,VEH00019,2025-10-01,80.0,9.56,6,10,10,0.139,0.189,1,4,0.754,0.212,
DRV000201,POL00019,CUST00018,VEH00019,2025-11-01,72.0,11.75,7,1,5,0.218,0.718,0,7,0.398,0.621,1018.0
