ticket_id,customer_id,policy_id,ticket_open_date,ticket_close_date,issue_type,issue_severity,support_channel,resolution_status,resolution_time_hours,escalation_flag,repeat_ticket_flag,csat_score,refund_or_credit_given_flag,refund_or_credit_amount,policy_type,coverage_level,policy_status,renewal_flag,churn_flag,premium_band,discount_band,risk_band,customer_segment,state,income_band
TIC000023,CUST00043,POL00050,2025-04-27 00:00:00,,payment_failure,medium,phone,pending,24.34,0,1,,0,0.0,premium,basic,cancelled,0,1,low,moderate,moderate_risk,budget,New York,middle
TIC000024,CUST00918,POL01008,2025-03-28 00:00:00,,mileage_sync_issue,low,chat,pending,9.31,0,1,,1,40.95,premium,enhanced,active,0,0,low,high,moderate_risk,standard,Arizona,high
TIC000025,CUST00419,POL00460,2025-02-22 00:00:00,2025-02-23 21:53:24.000000000,policy_change_request,high,phone,resolved,45.89,0,1,,0,0.0,premium,comprehensive,active,0,0,mid,high,moderate_risk,standard,Ohio,upper_middle
TIC000026,CUST00145,POL00157,2025-11-12 00:00:00,2025-11-18 07:10:48.000000000,claim_status_question,critical,phone,resolved,151.18,0,0,1.0,0,0.0,liability_only,enhanced,renewed,1,0,low,very_high,moderate_risk,premium,North Carolina,high
TIC000027,CUST00676,POL00739,2025-02-13 00:00:00,2025-02-13 04:40:12.000000000,app_login_issue,low,phone,resolved,4.67,0,0,4.0,1,24.07,standard,basic,active,0,0,low,high,moderate_risk,budget,North Carolina,upper_middle
TIC000028,CUST00804,POL00878,2025-09-29 00:00:00,2025-09-29 16:34:47.999999999,claim_status_question,medium,phone,resolved,16.58,0,0,5.0,0,0.0,liability_only,enhanced,cancelled,0,1,low,high,moderate_risk,standard,Pennsylvania,lower_middle
TIC000029,CUST00538,POL00588,2025-06-28 00:00:00,2025-07-01 13:34:48.000000000,mileage_sync_issue,high,phone,resolved,85.58,0,0,1.0,0,0.0,liability_only,basic,active,0,0,low,moderate,moderate_risk,standard,California,low
TIC000030,CUST00511,POL00556,2025-09-13 00:00:00,,claim_status_question,high,phone,pending,29.33,0,1,,1,12.5,liability_only,basic,active,0,0,low,high,moderate_risk,high_value,New York,lower_middle
TIC000031,CUST00499,POL00544,2025-12-31 00:00:00,2025-12-31 03:22:12.000000000,mileage_sync_issue,low,chat,resolved,3.37,0,0,4.0,0,0.0,premium,enhanced,active,0,0,mid,high,moderate_risk,standard,North Carolina,lower_middle
TIC000032,CUST00280,POL00305,2025-12-02 00:00:00,2025-12-05 17:26:24.000000000,billing_issue,high,chat,resolved,89.44,0,1,4.0,0,0.0,premium,basic,active,0,0,low,high,moderate_risk,standard,Arizona,upper_middle
TIC000033,CUST00893,POL00980,2025-02-04 00:00:00,,mileage_sync_issue,high,phone,escalated,41.12,1,0,3.0,0,0.0,liability_only,comprehensive,active,0,0,low,moderate,moderate_risk,budget,Florida,middle
TIC000034,CUST01086,POL01184,2025-08-07 00:00:00,2025-08-07 07:30:00.000000000,policy_change_request,low,chat,closed_no_action,7.5,0,0,,0,0.0,standard,enhanced,active,0,0,low,high,low_risk,standard,Pennsylvania,middle
TIC000035,CUST00603,POL00662,2025-03-07 00:00:00,,billing_issue,critical,email,escalated,131.05,1,0,1.0,0,0.0,full_coverage,basic,active,0,0,low,high,moderate_risk,standard,New York,middle
TIC000036,CUST00722,POL00789,2025-06-30 00:00:00,2025-07-03 18:32:24.000000000,claim_status_question,high,self_service,closed_no_action,90.54,0,0,,0,0.0,full_coverage,basic,cancelled,0,1,low,high,low_risk,high_value,Georgia,lower_middle
TIC000037,CUST00899,POL00986,2025-12-22 00:00:00,,payment_failure,critical,self_service,escalated,63.53,1,0,,0,0.0,full_coverage,enhanced,cancelled,0,1,low,none,moderate_risk,premium,Pennsylvania,lower_middle
TIC000038,CUST00787,POL00858,2025-10-09 00:00:00,2025-10-09 11:23:24.000000000,account_update_request,medium,phone,resolved,11.39,0,0,4.0,0,0.0,standard,enhanced,renewed,1,0,low,high,moderate_risk,budget,Texas,high
TIC000039,CUST00999,POL01091,2025-10-02 00:00:00,,discount_dispute,low,chat,escalated,2.24,1,0,2.0,0,0.0,standard,enhanced,active,0,0,mid,low,moderate_risk,standard,Florida,high
TIC000040,CUST00159,POL00172,2025-10-25 00:00:00,,payment_failure,medium,phone,pending,19.93,0,1,,0,0.0,full_coverage,comprehensive,renewed,1,0,mid,high,moderate_risk,standard,California,lower_middle
TIC000041,CUST00678,POL00741,2025-01-02 00:00:00,2025-01-03 01:25:12.000000000,discount_dispute,medium,email,resolved,25.42,0,0,2.0,0,0.0,premium,basic,renewed,1,0,low,high,low_risk,budget,Georgia,upper_middle
TIC000042,CUST00255,POL00274,2025-02-26 00:00:00,2025-02-26 06:33:00.000000000,app_login_issue,low,self_service,resolved,6.55,0,0,,0,0.0,premium,enhanced,active,0,0,low,low,moderate_risk,budget,New York,upper_middle
TIC000043,CUST00791,POL00863,2025-05-05 00:00:00,2025-05-05 00:30:00.000000000,discount_dispute,critical,chat,resolved,0.5,0,1,1.0,0,0.0,standard,enhanced,cancelled,0,1,low,high,moderate_risk,budget,Illinois,low
TIC000044,CUST00106,POL00115,2025-03-12 00:00:00,,mileage_sync_issue,low,phone,escalated,6.29,1,0,3.0,0,0.0,standard,comprehensive,renewed,1,0,low,low,moderate_risk,budget,Arizona,middle
TIC000045,CUST00272,POL00294,2025-07-13 00:00:00,,app_login_issue,low,self_service,pending,9.58,0,0,,0,0.0,premium,enhanced,cancelled,0,1,mid,low,moderate_risk,standard,Pennsylvania,upper_middle
TIC000046,CUST00697,POL00762,2025-01-28 00:00:00,2025-01-28 03:21:00.000000000,mileage_sync_issue,low,email,resolved,3.35,0,0,,0,0.0,full_coverage,basic,lapsed,0,1,mid,high,moderate_risk,high_value,Illinois,lower_middle
TIC000047,CUST01094,POL01192,2025-02-07 00:00:00,2025-02-08 21:40:48.000000000,account_update_request,high,email,resolved,45.68,0,1,4.0,1,12.88,full_coverage,comprehensive,renewed,1,0,low,high,moderate_risk,premium,North Carolina,middle
TIC000048,CUST00032,POL01217,2025-03-22 00:00:00,2025-03-24 07:01:48.000000000,app_login_issue,critical,phone,resolved,55.03,0,0,4.0,0,0.0,liability_only,comprehensive,renewed,1,0,low,low,moderate_risk,budget,Texas,lower_middle
TIC000049,CUST00684,POL00749,2025-03-14 00:00:00,,mileage_sync_issue,medium,email,escalated,5.78,1,0,2.0,0,0.0,premium,comprehensive,active,0,0,low,low,moderate_risk,budget,North Carolina,middle
TIC000050,CUST01070,POL01166,2025-08-02 00:00:00,2025-08-03 14:28:12.000000000,billing_issue,high,phone,resolved,38.47,0,1,4.0,0,0.0,full_coverage,comprehensive,renewed,1,0,mid,high,moderate_risk,standard,Florida,middle
TIC000051,CUST00561,POL00614,2025-08-29 00:00:00,2025-08-29 07:43:12.000000000,payment_failure,low,chat,resolved,7.72,0,1,5.0,0,0.0,standard,basic,active,0,0,low,high,moderate_risk,high_value,California,upper_middle
TIC000052,CUST00631,POL00691,2025-08-16 00:00:00,2025-08-16 11:24:00.000000000,app_login_issue,medium,phone,resolved,11.4,0,0,1.0,0,0.0,premium,enhanced,active,0,0,low,high,low_risk,standard,Ohio,middle
TIC000053,CUST00941,POL01031,2025-03-24 00:00:00,,app_login_issue,medium,email,pending,7.55,0,0,,0,0.0,premium,enhanced,lapsed,0,1,low,high,moderate_risk,standard,Texas,lower_middle
TIC000054,CUST00739,POL00812,2025-08-05 00:00:00,2025-08-05 11:05:24.000000000,account_update_request,medium,chat,resolved,11.09,0,0,5.0,0,0.0,full_coverage,comprehensive,active,0,0,mid,high,moderate_risk,budget,Arizona,upper_middle
TIC000055,CUST00485,POL00529,2025-10-20 00:00:00,2025-10-21 11:51:36.000000000,policy_change_request,high,chat,resolved,35.86,0,0,5.0,0,0.0,full_coverage,basic,active,0,0,low,moderate,moderate_risk,standard,North Carolina,lower_middle
TIC000056,CUST00794,POL00868,2025-03-22 00:00:00,2025-03-22 16:37:12.000000000,policy_change_request,medium,phone,resolved,16.62,0,0,,0,0.0,standard,comprehensive,active,0,0,low,high,moderate_risk,standard,New York,upper_middle
TIC000057,CUST00978,POL01069,2025-07-13 00:00:00,2025-07-13 12:13:12.000000000,billing_issue,medium,phone,resolved,12.22,0,0,5.0,0,0.0,standard,comprehensive,active,0,0,low,very_high,moderate_risk,budget,North Carolina,upper_middle
TIC000058,CUST00394,POL00434,2025-07-25 00:00:00,,app_login_issue,medium,phone,escalated,21.7,1,0,3.0,0,0.0,full_coverage,enhanced,cancelled,0,1,mid,moderate,moderate_risk,standard,Pennsylvania,middle
TIC000059,CUST00408,POL00449,2025-07-20 00:00:00,2025-07-20 10:24:00.000000000,billing_issue,low,phone,resolved,10.4,0,0,5.0,1,7.97,standard,basic,active,0,0,low,high,moderate_risk,budget,Florida,lower_middle
TIC000060,CUST00876,POL00960,2025-09-02 00:00:00,,claim_status_question,low,phone,pending,10.47,0,1,,0,0.0,standard,enhanced,active,0,0,low,high,high_risk,budget,Texas,middle
TIC000061,CUST00715,POL00780,2025-03-26 00:00:00,,app_login_issue,low,phone,pending,3.78,0,0,,0,0.0,premium,enhanced,cancelled,0,1,low,moderate,moderate_risk,high_value,Illinois,lower_middle
TIC000062,CUST00364,POL00399,2025-05-19 00:00:00,2025-05-19 07:07:48.000000000,mileage_sync_issue,low,email,resolved,7.13,0,0,3.0,0,0.0,liability_only,comprehensive,active,0,0,low,high,moderate_risk,standard,Texas,high
TIC000063,CUST00147,POL00160,2025-07-05 00:00:00,2025-07-05 18:22:12.000000000,claim_status_question,medium,chat,resolved,18.37,0,1,1.0,1,4.59,premium,comprehensive,lapsed,0,1,mid,high,moderate_risk,standard,North Carolina,lower_middle
TIC000064,CUST00530,POL00578,2025-03-25 00:00:00,2025-03-25 05:04:12.000000000,mileage_sync_issue,low,phone,resolved,5.07,0,0,1.0,0,0.0,premium,enhanced,active,0,0,low,high,moderate_risk,standard,Illinois,lower_middle
TIC000065,CUST00125,POL00134,2025-04-19 00:00:00,2025-04-19 22:15:36.000000000,app_login_issue,medium,phone,resolved,22.26,0,1,3.0,0,0.0,full_coverage,basic,cancelled,0,1,low,low,moderate_risk,standard,Florida,lower_middle
TIC000066,CUST00353,POL00385,2025-10-10 00:00:00,,discount_dispute,low,email,pending,11.22,0,1,,0,0.0,standard,basic,active,0,0,low,moderate,moderate_risk,standard,Illinois,middle
TIC000067,CUST00059,POL00067,2025-05-04 00:00:00,2025-05-04 14:42:36.000000000,policy_change_request,medium,chat,resolved,14.71,0,0,4.0,1,1.6,full_coverage,enhanced,lapsed,0,1,low,high,low_risk,standard,Ohio,low
TIC000068,CUST00162,POL00175,2025-10-19 00:00:00,2025-10-19 22:57:36.000000000,app_login_issue,high,chat,resolved,22.96,0,0,2.0,0,0.0,full_coverage,basic,active,0,0,low,moderate,low_risk,standard,Pennsylvania,upper_middle
TIC000069,CUST00903,POL00991,2025-01-24 00:00:00,,app_login_issue,high,phone,pending,27.09,0,1,,0,0.0,full_coverage,comprehensive,active,0,0,mid,high,low_risk,standard,Illinois,lower_middle
TIC000070,CUST00178,POL00191,2025-06-08 00:00:00,,app_login_issue,low,phone,escalated,10.49,1,0,3.0,1,16.09,standard,enhanced,active,0,0,low,high,moderate_risk,budget,New York,lower_middle
TIC000071,CUST00365,POL00400,2025-06-11 00:00:00,2025-06-11 07:02:24.000000000,payment_failure,low,self_service,resolved,7.04,0,0,3.0,0,0.0,premium,enhanced,renewed,1,0,mid,moderate,moderate_risk,premium,Illinois,lower_middle
TIC000072,CUST00665,POL00729,2025-03-08 00:00:00,,mileage_sync_issue,high,phone,escalated,50.82,1,1,1.0,0,0.0,full_coverage,basic,active,0,0,low,high,moderate_risk,standard,North Carolina,middle
TIC000073,CUST00619,POL00679,2025-07-28 00:00:00,2025-07-30 19:31:48.000000000,mileage_sync_issue,high,chat,resolved,67.53,0,0,5.0,0,0.0,standard,basic,renewed,1,0,low,high,moderate_risk,premium,Georgia,middle
TIC000074,CUST00890,POL00977,2025-10-28 00:00:00,2025-10-28 08:19:12.000000000,app_login_issue,low,self_service,resolved,8.32,0,0,3.0,0,0.0,liability_only,enhanced,active,0,0,mid,high,high_risk,standard,New York,high
TIC000075,CUST00867,POL00949,2025-02-10 00:00:00,,mileage_sync_issue,medium,chat,pending,15.72,0,1,,0,0.0,liability_only,enhanced,active,0,0,low,high,moderate_risk,standard,Ohio,lower_middle
TIC000076,CUST00938,POL01028,2025-09-22 00:00:00,2025-09-22 03:50:24.000000000,claim_status_question,low,phone,resolved,3.84,0,0,2.0,1,34.43,full_coverage,basic,active,0,0,mid,none,moderate_risk,standard,Georgia,middle
TIC000077,CUST00837,POL00917,2025-03-09 00:00:00,2025-03-11 23:28:48.000000000,claim_status_question,critical,chat,resolved,71.48,0,0,2.0,0,0.0,standard,basic,active,0,0,low,high,low_risk,standard,Pennsylvania,middle
TIC000078,CUST00447,POL00490,2025-04-17 00:00:00,2025-04-18 00:16:48.000000000,mileage_sync_issue,high,phone,resolved,24.28,0,0,3.0,0,0.0,full_coverage,comprehensive,active,0,0,low,high,moderate_risk,premium,Texas,upper_middle
TIC000079,CUST01066,POL01162,2025-11-18 00:00:00,2025-11-18 12:39:36.000000000,account_update_request,low,phone,resolved,12.66,0,0,5.0,0,,liability_only,basic,active,0,0,low,none,low_risk,standard,California,middle
TIC000080,CUST00028,POL00031,2025-03-15 00:00:00,2025-03-15 05:44:24.000000000,policy_change_request,medium,phone,resolved,5.74,0,1,3.0,0,0.0,liability_only,basic,cancelled,0,1,low,moderate,moderate_risk,standard,Texas,lower_middle
TIC000081,CUST00166,POL00179,2025-09-13 00:00:00,2025-09-15 00:10:48.000000000,mileage_sync_issue,high,phone,resolved,48.18,0,0,4.0,0,0.0,standard,comprehensive,lapsed,0,1,low,high,moderate_risk,premium,North Carolina,high
TIC000082,CUST00527,POL00574,2025-10-23 00:00:00,2025-10-23 06:18:00.000000000,claim_status_question,low,phone,resolved,6.3,0,0,3.0,0,0.0,premium,comprehensive,lapsed,0,1,mid,high,moderate_risk,budget,Georgia,middle
TIC000083,CUST00170,POL00183,2025-02-06 00:00:00,2025-02-07 03:09:36.000000000,billing_issue,medium,phone,resolved,27.16,0,1,2.0,0,0.0,liability_only,comprehensive,renewed,1,0,low,low,moderate_risk,standard,Arizona,
TIC000084,CUST00267,POL00288,2025-03-05 00:00:00,,account_update_request,medium,self_service,pending,24.14,0,0,,0,0.0,full_coverage,comprehensive,renewed,1,0,low,high,moderate_risk,high_value,North Carolina,middle
TIC000085,CUST00681,POL00745,2025-05-27 00:00:00,2025-05-27 00:30:00.000000000,payment_failure,low,phone,resolved,0.5,0,0,2.0,0,0.0,full_coverage,basic,active,0,0,mid,low,moderate_risk,standard,Texas,low
TIC000086,CUST00245,POL00265,2025-08-14 00:00:00,2025-08-14 01:45:36.000000000,claim_status_question,low,chat,resolved,1.76,0,0,3.0,1,23.35,standard,enhanced,active,0,0,low,moderate,moderate_risk,high_value,California,high
TIC000087,CUST00775,POL00847,2025-09-17 00:00:00,2025-09-17 02:02:24.000000000,account_update_request,low,phone,closed_no_action,2.04,0,0,,0,0.0,full_coverage,enhanced,lapsed,0,1,mid,low,moderate_risk,premium,New York,middle
TIC000088,CUST00495,POL00539,2025-12-16 00:00:00,,app_login_issue,critical,phone,pending,4.96,0,0,,0,0.0,full_coverage,basic,active,0,0,low,moderate,moderate_risk,premium,Arizona,lower_middle
TIC000089,CUST00460,POL00502,2025-12-25 00:00:00,2025-12-25 16:42:36.000000000,app_login_issue,medium,phone,resolved,16.71,0,0,5.0,0,0.0,standard,enhanced,active,0,0,low,high,moderate_risk,budget,North Carolina,low
TIC000090,CUST00199,POL00216,2025-05-29 00:00:00,,payment_failure,high,phone,escalated,82.1,1,0,2.0,0,0.0,liability_only,basic,active,0,0,low,high,moderate_risk,standard,Arizona,upper_middle
TIC000091,CUST00299,POL00325,2025-10-19 00:00:00,2025-10-25 00:40:48.000000000,payment_failure,critical,chat,resolved,144.68,0,0,2.0,0,0.0,full_coverage,comprehensive,renewed,1,0,mid,moderate,moderate_risk,budget,California,lower_middle
TIC000092,CUST00865,POL00947,2025-12-09 00:00:00,,mileage_sync_issue,low,chat,pending,3.62,0,0,,0,0.0,full_coverage,enhanced,renewed,1,0,low,moderate,low_risk,standard,Illinois,middle
TIC000093,CUST00651,POL00715,2025-08-27 00:00:00,2025-08-29 09:28:48.000000000,account_update_request,high,chat,resolved,57.48,0,0,4.0,0,0.0,premium,enhanced,renewed,1,0,low,moderate,low_risk,budget,Arizona,middle
TIC000094,CUST00871,POL00953,2025-02-25 00:00:00,2025-02-25 19:51:00.000000000,mileage_sync_issue,medium,phone,resolved,19.85,0,1,4.0,0,0.0,full_coverage,comprehensive,active,0,0,mid,none,moderate_risk,high_value,California,upper_middle
TIC000095,CUST00338,POL00370,2025-02-25 00:00:00,2025-02-25 07:58:12.000000000,payment_failure,low,email,closed_no_action,7.97,0,0,,0,,standard,basic,active,0,0,low,high,moderate_risk,standard,Pennsylvania,upper_middle
TIC000096,CUST00812,POL00888,2025-04-13 00:00:00,2025-04-13 00:30:00.000000000,payment_failure,medium,phone,resolved,0.5,0,0,3.0,0,0.0,standard,comprehensive,renewed,1,0,low,high,moderate_risk,premium,Ohio,low
TIC000097,CUST00614,POL00674,2025-02-03 00:00:00,2025-02-05 23:12:00.000000000,claim_status_question,critical,email,closed_no_action,71.2,0,0,,0,0.0,standard,enhanced,active,0,0,low,high,moderate_risk,standard,Ohio,lower_middle
TIC000098,CUST00347,POL01238,2025-09-06 00:00:00,2025-09-06 07:07:48.000000000,discount_dispute,low,chat,resolved,7.13,0,1,5.0,0,0.0,standard,enhanced,cancelled,0,1,low,low,moderate_risk,standard,New York,lower_middle
TIC000099,CUST00525,POL00571,2025-08-21 00:00:00,,app_login_issue,medium,chat,escalated,22.2,1,1,,0,0.0,full_coverage,enhanced,renewed,1,0,low,low,moderate_risk,premium,Arizona,upper_middle
TIC000100,CUST00292,POL00319,2025-08-29 00:00:00,,billing_issue,medium,phone,escalated,5.54,1,1,2.0,0,0.0,standard,comprehensive,active,0,0,low,low,moderate_risk,budget,Florida,high
TIC000101,CUST00397,POL00438,2025-06-13 00:00:00,,app_login_issue,medium,chat,escalated,10.08,1,0,2.0,0,0.0,standard,comprehensive,cancelled,0,1,low,high,moderate_risk,standard,Texas,lower_middle
TIC000102,CUST00075,POL01232,2025-07-14 00:00:00,,app_login_issue,medium,email,escalated,13.72,1,0,2.0,0,0.0,full_coverage,comprehensive,lapsed,0,1,mid,low,moderate_risk,standard,Texas,low
TIC000103,CUST00330,POL00361,2025-02-12 00:00:00,2025-02-14 09:39:00.000000000,billing_issue,high,phone,resolved,57.65,0,0,4.0,0,0.0,premium,comprehensive,cancelled,0,1,low,moderate,moderate_risk,premium,Ohio,upper_middle
TIC000104,CUST00132,POL00142,2025-05-21 00:00:00,,payment_failure,high,email,escalated,47.27,1,0,1.0,0,0.0,standard,comprehensive,renewed,1,0,mid,low,moderate_risk,standard,New York,low
TIC000105,CUST00155,POL00168,2025-06-02 00:00:00,2025-06-04 01:11:24.000000000,account_update_request,critical,chat,resolved,49.19,0,0,3.0,0,0.0,standard,enhanced,active,0,0,low,high,moderate_risk,standard,Arizona,low
TIC000106,CUST00488,POL00532,2025-04-05 00:00:00,2025-04-09 18:21:00.000000000,app_login_issue,critical,email,resolved,114.35,0,0,5.0,0,0.0,standard,enhanced,active,0,0,low,high,moderate_risk,standard,Ohio,middle
TIC000107,CUST00177,POL00190,2025-08-08 00:00:00,2025-08-08 10:12:00.000000000,claim_status_question,low,chat,resolved,10.2,0,1,5.0,0,0.0,premium,enhanced,active,0,0,mid,low,moderate_risk,budget,Georgia,lower_middle
TIC000108,CUST00372,POL00407,2025-06-28 00:00:00,,payment_failure,medium,self_service,pending,24.61,0,1,,0,0.0,full_coverage,basic,active,0,0,low,moderate,moderate_risk,premium,North Carolina,lower_middle
TIC000109,CUST00887,POL00974,2025-10-02 00:00:00,2025-10-02 19:42:00.000000000,billing_issue,medium,chat,resolved,19.7,0,0,5.0,0,0.0,standard,enhanced,lapsed,0,1,low,high,moderate_risk,high_value,Illinois,upper_middle
TIC000110,CUST00818,POL00895,2025-07-01 00:00:00,2025-07-02 18:42:36.000000000,payment_failure,medium,chat,resolved,42.71,0,1,2.0,1,46.98,standard,enhanced,cancelled,0,1,low,high,moderate_risk,premium,New York,low
TIC000111,CUST00629,POL01223,2025-04-12 00:00:00,2025-04-13 07:04:12.000000000,mileage_sync_issue,medium,chat,closed_no_action,31.07,0,0,,0,0.0,standard,enhanced,cancelled,0,1,low,moderate,moderate_risk,standard,Pennsylvania,middle
TIC000112,CUST01087,POL01185,2025-11-12 00:00:00,,billing_issue,medium,phone,pending,12.16,0,1,,0,0.0,premium,basic,cancelled,0,1,low,very_high,moderate_risk,budget,Ohio,middle
TIC000113,CUST00027,POL00030,2025-03-19 00:00:00,,account_update_request,high,chat,escalated,46.45,1,1,,0,0.0,standard,comprehensive,renewed,1,0,low,high,moderate_risk,standard,Georgia,middle
TIC000114,CUST00214,POL00233,2025-12-12 00:00:00,2025-12-12 10:37:12.000000000,payment_failure,low,phone,resolved,10.62,0,0,4.0,0,0.0,standard,basic,active,0,0,low,high,moderate_risk,standard,North Carolina,upper_middle
TIC000115,CUST00495,POL00539,2025-09-24 00:00:00,,app_login_issue,medium,phone,pending,4.56,0,0,,1,60.23,full_coverage,basic,active,0,0,low,moderate,moderate_risk,premium,Arizona,lower_middle
TIC000116,CUST01087,POL01185,2025-02-19 00:00:00,2025-02-19 00:30:00.000000000,app_login_issue,medium,phone,resolved,0.5,0,1,2.0,0,0.0,premium,basic,cancelled,0,1,low,very_high,moderate_risk,budget,Ohio,middle
TIC000117,CUST00789,POL00861,2025-12-23 00:00:00,2025-12-24 11:06:36.000000000,billing_issue,medium,self_service,resolved,35.11,0,0,3.0,1,25.32,full_coverage,basic,active,0,0,low,high,moderate_risk,standard,North Carolina,upper_middle
TIC000118,CUST00649,POL00713,2025-04-18 00:00:00,2025-04-18 08:56:24.000000000,discount_dispute,low,phone,resolved,8.94,0,0,3.0,0,0.0,premium,enhanced,cancelled,0,1,low,moderate,moderate_risk,standard,North Carolina,middle
TIC000119,CUST01085,POL01182,2025-01-08 00:00:00,,claim_status_question,low,chat,escalated,6.07,1,0,2.0,0,0.0,liability_only,enhanced,renewed,1,0,low,high,low_risk,standard,Ohio,lower_middle
